,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tournament:,Sony Open in Hawaii,,,"Last updated: 1/19/2026, 9:29:47 AM",,,,,,,,,,,,,,,,,,,,,,,
,Course:,Waialae Country Club,,,Found 120 players from API,,,,,,,,,,,,,,,,,,,,,,,
,Data Date:,2026-01-19 03:15:48 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS
↑ Approach | 📈 Rough Proximity: trend reversing (1.808) | 📈 Fairway Proximity: trend reversing (1.670) | 📈 SG Total: trend continuing (0.317) | ✅ Success aligned with model,13562,"Matsuyama, Hideki",2,T13,-9,1.483,1.798,293.25,298.46,60.71%,77.46%,2.110,1.076,1.235,0.301,0.823,0.597,0.053,0.179,-0.625,0.289,68.06%,72.85%,25.10,18.14,0.00,17.69,0.000
↑ Finished better than predicted | ↓ Below average performer | ⚠️ Success despite model prediction,21688,"Kim, S.H.",58,T13,-9,1.483,0.569,290.05,0.00,51.79%,0.00%,0.163,0.000,-0.055,0.000,0.345,0.000,-0.128,0.000,1.315,0.000,72.22%,0.00%,32.05,0.00,0.00,0.00,0.000
⚠️ Success despite model prediction,13126,"Taylor, Nick",33,T13,-9,1.483,-0.601,289.95,307.14,62.50%,89.84%,1.113,-0.007,1.060,-0.312,0.140,0.119,-0.085,0.186,0.368,-0.102,80.56%,77.58%,25.79,10.98,0.00,18.65,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Fairway Proximity: trend continuing (1.129) | 📉 Rough Proximity: trend continuing (1.078) | ⚠️ Success despite model prediction,18424,"Roy, Kevin",67,T13,-9,1.483,-0.324,297.23,277.75,55.36%,61.98%,-0.018,-0.036,-0.923,-0.056,0.775,-0.011,0.130,0.030,1.498,0.437,61.11%,55.85%,30.33,2.31,0.00,2.07,0.000
↑ Finished better than predicted | ↓ Below average performer | ⚠️ Success despite model prediction,20766,"Brown, Daniel",106,T19,-8,1.233,0.000,297.88,0.00,58.93%,0.00%,0.108,0.000,-0.173,0.000,0.338,0.000,-0.055,0.000,1.123,0.000,69.44%,0.00%,28.77,0.00,0.00,0.00,0.000
↓ Approach | 📉 Rough Proximity: trend continuing (5.940) | 📉 Fairway Proximity: trend continuing (2.312) | 📈 SG Total: trend continuing (0.167) | ⚠️ Success despite model prediction,24968,"Griffin, Ben",49,T19,-8,1.233,3.842,302.50,296.17,69.64%,83.51%,1.223,0.218,-0.880,0.161,1.043,0.018,1.063,0.040,0.007,0.186,72.22%,87.08%,32.31,4.81,0.00,10.32,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Fairway Proximity: trend continuing (1.539) | 📉 Rough Proximity: trend continuing (1.197) | 📈 SG Total: trend continuing (0.153) | ⚠️ Success despite model prediction,27164,"Phillips, Chandler",65,T19,-8,1.233,1.964,292.93,263.84,51.79%,58.39%,0.020,-0.010,0.198,0.005,0.063,0.021,-0.245,-0.036,1.210,-0.005,66.67%,60.01%,28.92,2.86,0.00,1.99,0.000
✅ Success aligned with model,14578,"Henley, Russell",3,T19,-8,1.233,0.842,289.55,286.89,55.36%,71.44%,0.750,1.385,1.450,0.630,0.023,0.136,-0.725,0.619,0.475,-0.544,72.22%,81.77%,29.59,28.00,0.00,46.85,0.000
↑ Finished better than predicted | ↓ Below average performer | ⚠️ Success despite model prediction,13764,"Parry, John",103,T19,-8,1.233,0.000,293.03,0.00,66.07%,0.00%,-0.033,0.000,-0.458,0.000,-0.108,0.000,0.535,0.000,1.263,0.000,79.17%,0.00%,32.28,0.00,0.00,0.00,0.000
,18634,"McNealy, Maverick",48,T24,-7,0.983,-0.343,298.90,304.90,57.14%,64.32%,0.640,-0.444,0.618,0.286,0.073,0.153,-0.048,-0.883,0.343,0.100,72.22%,75.34%,26.57,27.63,0.00,52.27,0.000
↓ Approach | 📉 Rough Proximity: trend continuing (2.419) | 📉 Fairway Proximity: trend continuing (2.167) | 📉 SG Total: trend reversing (0.202),13470,"Kizzire, Patton",46,T24,-7,0.983,0.278,289.30,315.55,50.00%,88.89%,-0.585,0.069,-0.080,0.055,0.263,0.040,-0.768,-0.026,1.563,0.363,55.56%,80.46%,33.65,5.30,0.00,4.26,0.000
↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (0.240) | ↓ Below average performer,20954,"Hirata, Kensei",93,T24,-7,0.983,-2.368,292.18,0.00,80.36%,0.00%,1.058,0.000,0.755,0.000,-0.405,0.000,0.710,0.000,-0.078,0.000,80.56%,0.00%,28.08,0.00,0.00,0.00,0.000
❌ Underperformed model prediction,14502,"Cauley, Bud",14,T24,-7,0.983,0.157,295.48,267.92,57.14%,72.43%,0.813,0.000,0.300,0.000,0.270,0.000,0.243,0.000,0.168,-0.030,75.00%,61.91%,31.30,0.00,0.00,0.00,0.000
↓ Below average performer | ❌ Underperformed model prediction,22002,"Dumont De Chassart, Adrien",15,T24,-7,0.983,2.106,301.68,0.00,55.36%,0.00%,1.775,0.000,-0.035,0.000,1.090,0.000,0.720,0.000,-0.793,-0.419,70.83%,0.00%,27.05,0.00,0.00,0.00,0.000
↑ Finished better than predicted,14636,"Spieth, Jordan",110,T24,-7,0.983,-3.121,295.75,304.24,51.79%,76.82%,0.650,-1.588,0.095,-0.889,0.368,-0.061,0.190,-0.637,0.333,-1.532,69.44%,62.25%,29.60,33.20,0.00,58.51,0.000
❌ Underperformed model prediction,17576,"Conners, Corey",7,T24,-7,0.983,1.552,290.95,300.31,69.64%,80.05%,1.755,1.692,1.973,1.034,-0.403,0.301,0.183,0.357,-0.775,-0.139,77.78%,76.57%,21.48,27.30,0.00,76.78,0.000
↓ Approach | 📉 Fairway Proximity: trend continuing (0.687),10104,"Power, Seamus",36,T31,-6,0.733,1.453,291.38,266.84,64.29%,58.22%,0.398,0.012,1.065,0.026,-0.503,-0.046,-0.170,0.032,0.335,0.020,76.39%,69.09%,27.74,1.18,0.00,0.33,0.000
↑ Finished better than predicted,17543,"Kim, Michael",64,T31,-6,0.733,-1.289,289.20,273.49,50.00%,61.02%,-0.905,0.000,0.518,0.000,0.023,0.000,-1.443,0.000,1.635,0.000,65.28%,60.34%,32.18,0.00,0.00,0.00,0.000
↑ Finished better than predicted,11451,"Garnett, Brice",117,T31,-6,0.733,-1.115,283.93,293.38,67.86%,80.70%,0.825,-0.835,0.950,-0.042,0.393,-0.985,-0.510,0.192,-0.093,-0.057,72.22%,70.92%,27.39,29.87,0.00,65.15,0.000
↓ Below average performer,25739,"Yonezawa, Ren",55,T31,-6,0.733,0.901,288.20,278.98,60.71%,83.60%,1.605,0.000,0.745,0.000,0.688,0.000,0.175,0.000,-0.875,0.000,80.56%,73.36%,28.30,0.00,0.00,0.00,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Rough Proximity: trend continuing (2.644) | 📉 Fairway Proximity: trend continuing (1.372),23014,"Theegala, Sahith",75,T31,-6,0.733,0.648,291.88,272.01,57.14%,56.35%,0.155,0.134,-0.430,0.157,1.093,0.041,-0.508,-0.063,0.575,-0.156,66.67%,67.60%,29.32,4.42,0.00,9.57,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Rough Proximity: trend continuing (2.825) | 📉 Fairway Proximity: trend continuing (0.756) | 📈 SG Total: trend continuing (0.161),19729,"Kanaya, Takumi",109,T31,-6,0.733,1.651,293.80,263.43,58.93%,78.76%,0.103,-0.007,-0.258,-0.020,0.223,0.019,0.135,-0.007,0.630,-0.123,68.06%,59.01%,35.66,1.13,0.00,3.83,0.000
