,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,24304,"Vilips, Karl",0.78,0.05,0.00,0.93,23.79,-0.04,186.00,0.72,0.09,0.00,0.95,29.71,0.06,279.00,0.85,0.06,0.00,0.96,15.83,0.04,71.00,0.33,0.04,0.00,0.98,63.16,-0.01,104.00,0.45,0.05,0.00,0.96,47.93,-0.04,133.00,0.52,0.06,0.00,0.93,40.11,-0.02,128
,11276,"Horschel, Billy",0.81,0.06,0.00,0.97,21.69,0.00,151.00,0.69,0.08,0.00,0.96,29.25,0.06,246.00,0.84,0.12,0.00,0.97,15.11,0.04,61.00,0.27,0.03,0.00,0.98,59.76,-0.07,89.00,0.40,0.02,0.00,0.97,49.95,-0.02,106.00,0.68,0.09,0.00,0.91,35.58,0.06,66
,15466,"Cantlay, Patrick",0.88,0.06,0.00,0.94,19.18,0.05,287.00,0.75,0.09,0.00,0.98,28.43,0.06,336.00,0.90,0.13,0.00,0.94,16.31,0.01,103.00,0.40,0.05,0.00,0.99,62.52,0.07,129.00,0.40,0.03,0.00,0.94,43.73,-0.02,205.00,0.65,0.05,0.00,0.98,36.64,0.02,141
,14838,"Reed, Patrick",,,,,,,,0.68,0.10,0.00,0.96,22.37,0.06,71.00,0.84,0.19,0.00,0.94,14.65,0.04,16.00,0.26,0.05,1.00,0.96,63.03,-0.01,22.00,0.51,0.02,0.00,0.98,54.28,0.03,43.00,0.53,0.00,0.00,1.00,47.90,-0.09,16
,13562,"Matsuyama, Hideki",0.81,0.09,0.00,0.94,20.04,0.04,327.00,0.72,0.07,0.00,0.97,27.03,0.05,444.00,0.84,0.11,0.00,0.93,14.70,0.06,106.00,0.30,0.03,0.00,0.97,53.50,0.02,163.00,0.48,0.10,0.00,0.97,39.61,0.06,248.00,0.52,0.06,0.00,0.95,39.50,-0.04,142
,17576,"Conners, Corey",0.85,0.07,0.00,0.95,19.31,0.04,350.00,0.75,0.06,0.00,0.98,26.82,0.05,468.00,0.82,0.07,0.00,0.92,18.14,-0.02,105.00,0.33,0.05,0.00,0.99,63.33,0.01,108.00,0.51,0.06,0.00,0.97,45.26,0.03,280.00,0.57,0.03,0.00,0.96,39.36,-0.02,106
,31188,"Valdes, Brendan",0.74,0.06,0.00,0.96,23.84,-0.02,55.00,0.65,0.09,1.00,0.95,30.16,0.05,56.00,0.66,0.00,1.00,0.93,20.89,-0.09,14.00,0.15,0.00,1.00,0.90,77.75,-0.17,19.00,,,,,,,,0.47,0.00,0.00,0.82,43.70,-0.09,17
,12294,"Fleetwood, Tommy",0.85,0.07,0.00,0.96,19.25,0.04,292.00,0.70,0.08,0.00,0.96,28.73,0.05,421.00,0.91,0.09,0.00,1.00,14.90,0.07,86.00,0.38,0.06,0.00,0.98,69.04,0.00,124.00,0.47,0.05,0.00,0.97,43.40,0.02,230.00,0.60,0.06,0.00,0.94,38.66,-0.02,87
,23542,"Champ, Cameron",0.78,0.07,0.00,0.95,24.12,-0.03,153.00,0.73,0.06,0.00,0.95,28.20,0.05,172.00,0.81,0.02,0.00,0.93,22.80,-0.11,43.00,0.16,0.02,0.00,0.95,68.29,-0.08,41.00,0.47,0.03,0.00,0.94,44.27,-0.02,97.00,0.55,0.02,0.00,0.98,46.07,-0.06,61
,5768,"Hoffman, Charley",0.75,0.07,0.00,0.91,24.14,-0.02,140.00,0.65,0.07,0.00,0.96,28.52,0.05,179.00,0.86,0.05,0.00,0.95,17.93,-0.02,39.00,0.42,0.08,0.00,0.99,50.72,0.06,66.00,0.45,0.03,0.00,0.91,42.05,-0.02,93.00,0.59,0.06,0.00,0.96,36.24,-0.01,70
,14609,"Kim, Si Woo",0.78,0.10,0.00,0.93,22.20,0.02,316.00,0.69,0.09,0.00,0.96,27.83,0.05,498.00,0.83,0.06,0.00,0.92,16.83,-0.02,142.00,0.38,0.04,0.00,0.96,64.47,-0.01,134.00,0.47,0.08,0.00,0.96,41.06,0.05,279.00,0.49,0.07,0.00,0.92,37.91,-0.05,130
,17536,"Spaun, J.J.",0.81,0.09,0.00,0.94,20.00,0.05,362.00,0.73,0.07,0.00,0.95,28.65,0.05,481.00,0.90,0.10,0.00,0.94,15.61,0.05,94.00,0.42,0.10,0.00,0.97,64.67,0.07,148.00,0.51,0.05,0.00,0.96,42.62,0.05,251.00,0.61,0.03,0.00,0.96,34.27,0.03,139
,19895,"Schauffele, Xander",0.82,0.07,0.00,0.96,20.81,0.01,201.00,0.74,0.08,0.00,0.96,27.09,0.05,328.00,0.89,0.14,0.00,0.92,16.47,0.05,65.00,0.36,0.06,0.00,0.94,63.95,-0.01,107.00,0.54,0.06,0.00,0.96,39.16,0.05,167.00,0.61,0.06,0.00,0.95,35.87,0.04,114
,24200,"Smylie, Elvis",,,,,,,,0.80,0.06,1.00,0.94,30.94,0.05,54.00,,,,,,,,,,,,,,,0.50,0.05,1.00,0.95,40.75,0.06,38.00,0.78,0.13,0.00,0.93,37.82,0.12,15
,13872,"Bradley, Keegan",0.83,0.07,0.00,0.97,19.60,0.03,307.00,0.68,0.07,0.00,0.97,27.86,0.04,469.00,0.82,0.10,0.00,0.94,17.02,0.00,105.00,0.31,0.02,0.00,0.95,67.97,-0.03,130.00,0.48,0.05,0.00,0.96,44.66,0.02,241.00,0.60,0.07,0.00,0.92,35.56,0.01,137
