Rank,Player Name,Weighted Score,Refined Score,WAR,Composite Score,Data Coverage,Confidence
1,Kim, S.H.,1.336,1.319,1.28,1.320,95.1%,0.988
2,Finau, Tony,1.291,1.275,1.23,1.273,95.1%,0.988
3,Simpson, Webb,1.114,1.094,1.10,1.110,92.7%,0.981
4,Davis, Cam,1.062,1.036,1.07,1.065,90.2%,0.975
5,Bauchou, Zach,0.965,0.889,1.04,0.989,70.7%,0.921
6,Parry, John,0.904,0.887,1.05,0.947,92.7%,0.981
7,Nakajima, Keita,0.887,0.816,1.07,0.941,70.7%,0.921
8,Li, Haotong,0.764,0.750,0.90,0.806,92.7%,0.981
9,Ewart, A.J.,0.704,0.638,1.18,0.846,68.3%,0.913
10,Jaeger, Stephan,0.664,0.651,0.82,0.709,92.7%,0.981
11,Hovland, Viktor,0.637,0.629,0.84,0.698,95.1%,0.988
12,Dou, Zecheng,0.712,0.561,1.49,0.945,51.2%,0.858
13,Mitchell, Keith,0.623,0.607,0.79,0.674,90.2%,0.975
14,Hisatsune, Ryo,0.607,0.596,0.78,0.659,92.7%,0.981
15,Yellamaraju, Sudarshan,0.596,0.521,1.13,0.755,63.4%,0.898
16,Knapp, Jake,0.563,0.549,0.76,0.622,90.2%,0.975
17,Meissner, Mac,0.557,0.550,0.76,0.616,95.1%,0.988
18,Theegala, Sahith,0.540,0.530,0.72,0.593,92.7%,0.981
19,VanDerLaan, John,0.671,0.461,1.68,0.973,36.6%,0.802
20,Matsuyama, Hideki,0.458,0.452,0.68,0.524,95.1%,0.988
21,Coody, Pierceson,0.473,0.462,0.64,0.523,90.2%,0.975
22,Hirata, Kensei,0.484,0.366,1.30,0.729,46.3%,0.840
23,Thompson, Davis,0.417,0.412,0.66,0.489,95.1%,0.988
24,Gonzalez, Emilio,0.415,0.382,0.66,0.489,70.7%,0.921
25,Stevens, Sam,0.359,0.352,0.57,0.422,92.7%,0.981
26,Lebioda, Hank,0.479,0.296,1.61,0.818,26.8%,0.759
27,Smotherman, Austin,0.457,0.283,1.55,0.784,26.8%,0.759
28,Kim, Si Woo,0.325,0.321,0.60,0.408,95.1%,0.988
29,Keefer, Johnny,0.317,0.311,0.62,0.407,92.7%,0.981
30,Berger, Daniel,0.316,0.312,0.60,0.400,95.1%,0.988
31,Chatfield, Davis,0.405,0.251,1.47,0.724,26.8%,0.759
32,Avant, Thomas,0.334,0.261,1.28,0.619,50.0%,0.854
33,Clark, Wyndham,0.299,0.294,0.57,0.380,92.7%,0.981
34,Cole, Eric,0.286,0.282,0.59,0.378,95.1%,0.988
35,Lee, S.T.,0.376,0.232,1.43,0.691,26.8%,0.759
36,Morikawa, Collin,0.253,0.248,0.57,0.348,92.7%,0.981
37,Kang, Jeffrey,0.315,0.195,1.27,0.600,26.8%,0.759
38,Lamprecht, Christo,0.347,0.245,1.05,0.557,39.0%,0.812
39,Rodgers, Patrick,0.280,0.277,0.55,0.362,95.1%,0.988
40,Schauffele, Xander,0.264,0.261,0.54,0.346,95.1%,0.988
41,Blanchet, Chandler,0.271,0.205,0.93,0.469,46.3%,0.840
42,Hughes, Mackenzie,0.246,0.243,0.52,0.329,95.1%,0.988
43,McGreevy, Max,0.242,0.238,0.52,0.326,92.7%,0.981
44,Fox, Ryan,0.225,0.221,0.56,0.325,92.7%,0.981
45,Penge, Marco,0.223,0.213,0.55,0.322,82.9%,0.955
46,McNealy, Maverick,0.226,0.221,0.52,0.313,90.2%,0.975
47,Shipley, Neal,0.197,0.155,0.76,0.365,51.2%,0.858
48,English, Harris,0.206,0.204,0.48,0.289,95.1%,0.988
49,Hojgaard, Rasmus,0.172,0.170,0.47,0.262,95.1%,0.988
50,Schenk, Adam,0.170,0.166,0.44,0.252,90.2%,0.975
