Rank,Player Name,Weighted Score,Refined Score,WAR,Composite Score,Data Coverage,Confidence
51,Nyholm, Pontus,0.164,0.116,0.72,0.331,39.0%,0.812
52,Koepka, Brooks,0.165,0.157,0.42,0.240,82.9%,0.955
53,Eckroat, Austin,0.134,0.133,0.46,0.232,95.1%,0.988
54,Novak, Andrew,0.119,0.116,0.40,0.204,90.2%,0.975
55,Hoge, Tom,0.071,0.070,0.44,0.183,92.7%,0.981
56,Vilips, Karl,0.078,0.077,0.37,0.166,95.1%,0.988
57,Dahmen, Joel,0.056,0.055,0.37,0.151,90.2%,0.975
58,Conners, Corey,0.030,0.030,0.41,0.144,95.1%,0.988
59,Walker, Danny,-0.025,-0.024,0.36,0.090,92.7%,0.981
60,Fitzpatrick, Matt,-0.008,-0.008,0.28,0.078,95.1%,0.988
61,Hubbard, Mark,-0.021,-0.020,0.30,0.076,95.1%,0.988
62,Hoey, Rico,-0.051,-0.050,0.35,0.069,95.1%,0.988
63,Neergaard-Petersen, Rasmus,-0.079,-0.075,0.39,0.061,82.9%,0.955
64,Scheffler, Scottie,-0.102,-0.101,0.34,0.030,95.1%,0.988
65,Fowler, Rickie,-0.091,-0.090,0.29,0.022,95.1%,0.988
66,Spieth, Jordan,-0.078,-0.077,0.25,0.021,95.1%,0.988
67,Pavon, Matthieu,-0.107,-0.105,0.26,0.004,95.1%,0.988
68,McCarty, Matt,-0.129,-0.127,0.26,-0.011,95.1%,0.988
69,Saddier, Adrien,-0.145,-0.133,0.27,-0.021,70.7%,0.921
70,Bezuidenhout, Christiaan,-0.134,-0.131,0.22,-0.028,90.2%,0.975
71,Tosti, Alejandro,-0.170,-0.168,0.28,-0.035,95.1%,0.988
72,Dumont De Chassart, Adrien,-0.204,-0.194,0.12,-0.108,80.5%,0.949
73,Reitan, Kristoffer,-0.257,-0.254,0.19,-0.124,95.1%,0.988
74,Young, Cameron,-0.298,-0.294,0.20,-0.149,95.1%,0.988
75,Kim, Tom,-0.310,-0.304,0.13,-0.176,92.7%,0.981
76,Brown, Dan,-0.293,-0.290,0.06,-0.187,95.1%,0.988
77,Grillo, Emiliano,-0.331,-0.327,0.10,-0.201,95.1%,0.988
78,Ramey, Chad,-0.316,-0.308,0.05,-0.207,90.2%,0.975
79,Thorbjornsen, Michael,-0.347,-0.342,0.08,-0.220,95.1%,0.988
80,Hoffman, Charley,-0.364,-0.360,0.06,-0.235,95.1%,0.988
81,Phillips, Chandler,-0.464,-0.450,0.02,-0.319,87.8%,0.969
82,Gotterup, Chris,-0.477,-0.466,-0.00,-0.334,90.2%,0.975
83,Spaun, J.J.,-0.546,-0.539,0.04,-0.372,95.1%,0.988
84,Schmid, Matti,-0.673,-0.665,-0.17,-0.523,95.1%,0.988
85,Hojgaard, Nicolai,-0.694,-0.686,-0.17,-0.535,95.1%,0.988
86,Kirk, Chris,-0.725,-0.716,-0.12,-0.542,95.1%,0.988
87,Smalley, Alex,-0.726,-0.718,-0.16,-0.556,95.1%,0.988
88,Cauley, Bud,-0.737,-0.728,-0.17,-0.566,95.1%,0.988
89,Bridgeman, Jacob,-0.767,-0.758,-0.21,-0.601,95.1%,0.988
90,Olesen, Thorbjorn,-0.775,-0.760,-0.20,-0.601,92.7%,0.981
91,Taylor, Nick,-0.771,-0.756,-0.21,-0.602,92.7%,0.981
92,Smith, Jordan,-0.795,-0.785,-0.16,-0.605,95.1%,0.988
93,Burns, Sam,-0.804,-0.784,-0.20,-0.622,90.2%,0.975
94,Valimaki, Sami,-0.815,-0.805,-0.21,-0.633,95.1%,0.988
95,Poston, J.T.,-0.839,-0.818,-0.21,-0.652,90.2%,0.975
96,Garnett, Brice,-0.913,-0.896,-0.32,-0.734,92.7%,0.981
97,Mouw, William,-1.019,-1.006,-0.38,-0.829,95.1%,0.988
98,Griffin, Ben,-1.045,-1.025,-0.39,-0.847,92.7%,0.981
99,Kanaya, Takumi,-1.051,-1.038,-0.40,-0.855,95.1%,0.988
100,Harman, Brian,-1.106,-1.093,-0.40,-0.896,95.1%,0.988
101,Horschel, Billy,-1.138,-1.117,-0.42,-0.924,92.7%,0.981
102,Brennan, Michael,-1.127,-1.077,-0.46,-0.928,82.9%,0.955
103,Riley, Davis,-1.173,-1.151,-0.48,-0.964,92.7%,0.981
104,Campos, Rafael,-1.180,-1.165,-0.50,-0.975,95.1%,0.988
105,Bhatia, Akshay,-1.209,-1.194,-0.46,-0.983,95.1%,0.988
106,Roy, Kevin,-1.221,-1.206,-0.57,-1.027,95.1%,0.988
107,Homa, Max,-1.284,-1.268,-0.55,-1.063,95.1%,0.988
108,Echavarria, Nico,-1.297,-1.273,-0.55,-1.073,92.7%,0.981
109,Whaley, Vince,-1.361,-1.335,-0.64,-1.143,92.7%,0.981
110,Higgo, Garrick,-1.479,-1.460,-0.70,-1.245,95.1%,0.988
111,Greyserman, Max,-1.474,-1.446,-0.72,-1.247,92.7%,0.981
112,Woodland, Gary,-1.517,-1.498,-0.74,-1.283,95.1%,0.988
113,Malnati, Peter,-1.528,-1.509,-0.74,-1.292,95.1%,0.988
114,Highsmith, Joe,-1.565,-1.536,-0.77,-1.327,92.7%,0.981
115,Kizzire, Patton,-1.582,-1.563,-0.75,-1.334,95.1%,0.988
116,Van Rooyen, Erik,-1.731,-1.699,-0.85,-1.468,92.7%,0.981
117,Potgieter, Aldrich,-1.811,-1.766,-0.91,-1.541,90.2%,0.975
118,Straka, Sepp,-2.271,-2.243,-1.19,-1.947,95.1%,0.988
119,Hall, Harry,-2.346,-2.302,-1.32,-2.039,92.7%,0.981
120,Lee, Min Woo,-2.383,-2.354,-1.40,-2.087,95.1%,0.988
121,Kitayama, Kurt,-2.449,-2.418,-1.37,-2.124,95.1%,0.988
122,Campbell, Brian,-2.603,-2.554,-1.46,-2.261,92.7%,0.981
123,Kim, Michael,-2.780,-2.728,-1.56,-2.413,92.7%,0.981
