,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Peformance Notes,Rank,DG ID,Player Name,Top 5,Top 10,Weighted Score,Past Perf. Mult.,SG Total,SG Total Trend,Driving Distance,Driving Distance Trend,Driving Accuracy,Driving Accuracy Trend,SG T2G,SG T2G Trend,SG Approach,SG Approach Trend,SG Around Green,SG Around Green Trend,SG OTT,SG OTT Trend,SG Putting,SG Putting Trend,Greens in Regulation,Greens in Regulation Trend,Scrambling,Scrambling Trend,Great Shots,Great Shots Trend,Poor Shots,Poor Shots Trend,Scoring Average,Scoring Average Trend,Birdies or Better,Birdies or Better Trend,Birdie Chances Created,Birdie Chances Created Trend,Fairway Proximity,Fairway Proximity Trend,Rough Proximity,Rough Proximity Trend,Approach <100 GIR,Approach <100 SG,Approach <100 Prox,Approach <150 FW GIR,Approach <150 FW SG,Approach <150 FW Prox,Approach <150 Rough GIR,Approach <150 Rough SG,Approach <150 Rough Prox,Approach >150 Rough GIR,Approach >150 Rough SG,Approach >150 Rough Prox,Approach <200 FW GIR,Approach <200 FW SG,Approach <200 FW Prox,Approach >200 FW GIR,Approach >200 FW SG,Approach >200 FW Prox,Refined Weighted Score,WAR,Delta Trend Score,Delta Predictive Score
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.46 (-0.035) [S↓ M↑ L↑ VL↓]",31,23323,"MacIntyre, Robert",1,1,0.15,0.982,0.560,0.008,273.449,0.000,64.25%,0.009,0.055,-2.743,-0.035,0.452,-0.304,-0.099,0.394,-0.031,0.395,0.141,61.13%,0.015,64.01%,0.023,2.737,-0.019,2.911,-0.027,70.826,0.000,3.935,0.000,1.012,0.000,32.469,0.013,45.371,-0.053,87.40%,-1.098,18.761,81.00%,-0.072,21.897,64.50%,1.422,35.028,34.90%,0.450,57.721,67.90%,-0.072,30.291,49.20%,0.324,39.998,0.15,0.09,0.150,-0.013
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↑ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.32 (0.101) [S↑ M↑ L↑ VL↓]",32,23816,"Valimaki, Sami",2,2,0.16,0.904,-0.254,-0.055,267.488,0.029,60.80%,0.032,-0.327,-0.012,-0.427,-0.180,0.417,0.206,-0.316,3.748,0.119,-0.093,59.86%,0.028,54.81%,0.080,3.048,0.082,3.633,0.119,70.424,0.000,4.615,0.011,2.340,0.000,27.870,0.082,43.989,0.059,86.90%,-0.018,17.226,80.30%,0.198,21.824,60.50%,0.414,39.586,37.60%,0.486,61.811,69.70%,0.378,29.038,52.00%,0.720,40.814,0.16,0.04,0.421,0.057
"💪 Approach <100 Prox, SG Putting | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.21 (0.083) [S↑ M↑ L↑ VL↓]",33,29433,"Bridgeman, Jacob",1,2,0.16,0.994,0.565,0.018,279.213,0.016,57.16%,0.005,0.209,0.008,0.641,0.124,-0.341,-0.044,-0.091,-3.107,0.745,0.045,62.35%,0.021,62.74%,0.047,3.784,0.103,3.381,0.077,70.392,0.000,4.191,0.007,1.496,0.000,28.939,0.062,57.590,-0.016,92.30%,0.000,16.772,82.80%,0.324,20.310,56.20%,0.828,41.721,36.40%,0.432,61.663,67.30%,-0.018,30.712,46.10%,0.054,44.789,0.16,0.01,0.376,0.060
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend↓ | BucketSig ↓ z=-0.80 (-0.094) [S↑ M↑ L↓ VL↓]",34,21891,"Kitayama, Kurt",1,1,0.07,0.959,-0.474,0.111,291.901,0.014,57.54%,0.040,0.402,-0.118,0.428,0.000,-0.157,1.068,0.131,0.098,-0.207,-0.037,61.59%,0.030,56.56%,0.009,2.966,0.020,4.724,0.010,71.747,0.000,3.432,0.000,2.883,0.000,32.256,0.011,47.329,-0.036,80.80%,0.144,17.204,79.50%,0.432,21.077,56.20%,0.504,38.504,33.10%,0.666,56.818,70.40%,0.540,29.394,46.70%,0.666,37.418,0.06,0.14,-0.113,-0.017
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.63 (0.157) [S↑ M↑ L↑ VL↓]",35,7399,"Glover, Lucas",1,1,0.1,0.93,-1.361,0.395,280.110,-0.004,74.08%,0.000,-0.398,-0.131,-0.204,-0.094,0.003,-1.906,-0.197,0.132,-0.950,0.238,59.34%,0.006,64.82%,0.008,3.428,0.037,5.971,0.019,73.425,0.000,3.238,0.028,2.354,0.000,35.662,-0.008,73.438,-0.012,89.30%,0.828,14.693,82.20%,1.008,19.052,54.00%,1.278,37.435,29.60%,0.018,73.963,71.30%,0.972,27.495,42.80%,-0.234,44.250,0.1,0.02,0.572,0.062
"💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ↓ Off tee | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.77 (0.356) [S↓ M↓ L↑ VL↑]",36,19396,"Knapp, Jake",2,4,0.11,1.023,0.967,0.000,299.682,0.004,54.88%,0.006,0.683,-0.009,0.023,0.033,0.480,0.099,0.180,-0.124,0.782,0.066,62.22%,0.005,65.97%,0.006,3.993,0.032,3.004,0.052,70.254,0.000,3.842,0.011,-0.647,0.000,34.751,0.007,52.828,0.016,88.20%,0.504,18.559,78.40%,-0.054,22.305,60.10%,1.296,34.906,33.80%,-0.324,63.790,62.70%,-1.026,33.074,47.70%,0.126,43.755,0.11,-0.07,1.057,0.131
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.19 (0.013) [S↑ M↑ L↑ VL↓]",37,11676,"Finau, Tony",3,7,0.04,0.891,0.361,0.253,283.041,0.017,51.28%,0.016,0.179,-0.295,0.434,0.056,0.067,-0.830,-0.322,0.533,0.887,-0.610,60.01%,0.045,64.34%,0.041,3.100,0.021,3.948,0.000,71.342,0.000,4.113,0.025,0.794,0.000,29.990,0.031,50.690,-0.018,82.30%,-0.810,18.568,83.20%,-0.018,20.554,49.00%,-1.062,41.255,36.80%,0.486,54.143,70.30%,0.504,29.558,45.60%,0.072,42.127,0.04,-0.03,0.446,0.003
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.32 (0.102) [S↑ M↑ L↑ VL↓]",38,14636,"Spieth, Jordan",7,8,0.07,0.905,0.321,0.709,293.753,-0.004,61.88%,-0.012,0.020,0.753,-0.371,0.015,0.286,-0.095,0.104,-0.583,0.143,0.763,60.02%,0.009,60.60%,0.000,3.263,-0.003,3.637,-0.028,71.263,0.000,4.189,0.032,-0.328,0.000,34.999,0.018,64.798,-0.013,86.60%,0.486,15.751,79.60%,-0.054,21.142,56.70%,0.486,35.626,35.80%,0.090,62.623,63.80%,-0.504,32.471,46.30%,-0.162,40.794,0.06,-0.1,0.618,0.038
"💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.33 (-0.011) [S↑ M↑ L↑ VL↓]",39,10419,"Noren, Alex",1,1,-0.01,0.917,0.254,-0.019,253.073,-0.006,58.56%,0.015,0.367,0.053,-0.022,0.072,0.431,-0.077,-0.043,-1.150,-0.216,-0.135,56.35%,0.023,56.93%,-0.003,3.309,-0.013,3.056,-0.028,71.383,0.000,4.252,0.011,2.649,0.000,29.134,-0.005,74.697,0.022,83.60%,-1.098,19.341,77.20%,-0.198,21.916,51.80%,-0.216,40.647,41.40%,1.620,57.442,70.90%,0.360,29.476,42.10%,0.378,43.150,-0.01,-0.03,0.054,0.022
💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↑ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.34 (0.106) [S↑ M↑ L↑ VL↓],40,17543,"Kim, Michael",1,2,-0.01,0.968,-0.804,2.176,281.700,0.011,52.62%,0.009,-1.133,0.222,0.147,0.172,0.017,-0.680,-1.296,0.089,-0.119,-0.139,55.43%,0.025,66.13%,0.000,3.329,-0.014,4.425,0.054,72.288,0.000,3.589,0.008,1.894,0.000,31.588,0.004,73.517,-0.006,83.70%,0.414,16.010,80.40%,0.738,18.884,52.90%,0.144,37.531,40.40%,0.936,55.802,66.90%,-0.180,30.788,46.10%,-0.180,45.321,-0.01,-0.08,0.467,0.050
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.22 (0.007) [S↑ M↑ L↑ VL↓]",41,13872,"Bradley, Keegan",2,6,-0.03,0.905,0.598,-0.163,286.272,0.000,66.83%,0.004,0.295,-0.215,-0.215,-6.649,0.194,0.401,0.315,-0.021,0.089,-0.024,61.24%,0.006,63.12%,0.016,3.798,-0.028,4.162,0.009,71.108,0.000,4.267,0.009,-0.131,0.000,30.992,0.024,65.846,-0.019,77.60%,-0.702,18.580,85.80%,0.864,18.893,56.50%,-0.288,38.251,28.20%,-0.918,71.119,67.10%,0.360,28.348,50.40%,0.306,43.999,-0.03,-0.03,0.398,-0.019
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.44 (0.123) [S↓ M↑ L↑ VL↓]",42,17780,"Pendrith, Taylor",1,7,-0.02,0.94,1.215,-0.009,275.368,0.000,51.55%,-0.010,1.521,-0.091,0.894,-0.105,0.069,0.133,0.558,-0.036,0.543,-0.511,60.82%,0.006,56.91%,0.027,3.553,-0.020,3.702,-0.024,70.407,0.000,4.606,0.032,1.329,0.000,29.187,-0.008,58.775,-0.009,82.40%,-0.720,18.499,79.80%,-0.036,22.441,55.70%,0.252,40.922,35.00%,0.648,63.978,73.00%,0.486,29.780,45.00%,-0.324,47.235,-0.02,-0.07,0.598,0.052
💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↑ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.76 (0.353) [S↓ M↑ L↑ VL↓],43,19483,"Burns, Sam",1,5,-0.01,0.91,0.965,-0.038,284.832,0.008,60.26%,0.011,0.162,-0.073,0.283,0.328,-0.279,0.808,0.157,0.073,0.452,0.043,60.22%,0.028,60.68%,0.016,4.675,0.034,4.422,0.016,70.534,0.000,4.464,0.004,-0.118,0.000,32.605,0.008,51.820,-0.036,81.00%,-0.162,17.342,80.50%,0.432,19.823,55.60%,0.198,40.249,34.00%,0.018,65.225,66.90%,0.054,30.050,43.70%,-0.540,47.518,-0.01,-0.14,1.229,0.166
"💪 SG Around Green, Approach <100 Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Putting | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-1.06 (-0.139) [S↑ M↓ L↓ VL↓]",44,27774,"Gotterup, Chris",2,2,-0.07,1.118,0.860,-0.071,296.919,0.006,56.03%,0.009,1.320,0.042,-0.061,-0.535,0.772,0.470,0.609,0.034,-0.734,0.830,61.84%,0.000,64.87%,0.003,4.442,0.032,3.955,0.040,69.464,0.000,5.006,0.017,0.616,0.000,33.375,0.037,43.318,-0.032,85.10%,-0.180,18.423,82.50%,0.072,22.113,57.20%,0.612,39.977,33.10%,0.522,56.448,69.90%,0.126,30.611,44.80%,-0.522,47.825,-0.07,0,-0.213,-0.085
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.74 (-0.084) [S↑ M↑ L↑ VL↓]",45,6430,"Scott, Adam",2,4,-0.08,0.935,0.773,0.020,272.458,0.004,52.69%,-0.025,0.922,0.051,0.045,-1.301,0.214,0.569,0.664,0.030,-0.292,0.351,54.57%,-0.009,59.28%,0.008,3.090,-0.022,3.025,-0.050,71.076,0.000,3.657,0.013,0.807,0.000,25.973,-0.025,55.886,0.022,85.20%,1.044,15.113,77.90%,-0.396,20.643,53.10%,0.450,38.665,27.70%,0.126,62.251,67.00%,-0.162,30.003,49.90%,0.450,42.528,-0.08,-0.03,0.116,-0.054
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.26 (0.000) [S↑ M↑ L↑ VL↓]",46,13126,"Taylor, Nick",1,2,-0.08,0.927,0.721,-0.093,278.503,0.011,65.80%,0.022,0.748,0.197,0.648,0.574,0.220,-0.370,-0.119,0.174,-0.681,-1.037,67.84%,0.023,62.97%,0.008,3.229,0.011,3.655,0.035,70.811,0.000,3.518,-0.023,0.785,0.000,30.148,0.013,55.406,-0.021,80.50%,-0.270,19.279,83.70%,0.216,21.343,52.30%,-0.810,35.173,27.80%,-0.072,66.156,73.00%,0.126,29.329,54.30%,0.972,42.812,-0.08,-0.05,0.299,-0.016
"💪 Approach <100 Prox, SG OTT | 👍 Good course fit | ↓ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.40 (-0.025) [S↓ M↑ L↑ VL↓]",47,26651,"Young, Cameron",1,5,-0.12,0.931,-0.060,-1.197,298.429,0.000,62.05%,0.010,0.043,-0.478,-0.476,0.223,-0.030,0.025,0.549,-0.040,-0.445,0.449,61.35%,0.007,56.70%,0.010,4.363,0.017,4.718,0.052,71.728,0.000,4.040,0.006,0.433,0.000,33.577,0.011,48.601,0.004,84.00%,-0.234,16.852,78.40%,0.288,20.934,58.90%,0.612,37.568,35.70%,0.576,61.783,67.80%,0.180,28.552,42.20%,-0.720,47.659,-0.12,-0.05,0.090,-0.037
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.65 (-0.067) [S↑ M↑ L↑ VL↓]",48,28635,"McCarty, Matt",1,1,-0.18,0.923,0.151,-0.213,273.465,0.019,68.28%,0.035,-1.040,4.293,-0.588,-1.305,-0.532,0.214,0.079,-0.103,1.375,0.233,59.10%,0.022,59.66%,0.020,3.161,0.016,3.467,0.039,70.489,0.000,4.240,-0.010,0.545,0.000,34.164,0.050,45.747,-0.020,83.50%,0.072,16.422,77.10%,-0.252,22.859,57.90%,0.756,36.799,35.70%,0.126,65.210,66.50%,0.306,28.862,45.20%,-0.414,43.925,-0.18,-0.14,0.061,-0.040
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-0.89 (-0.110) [S↑ M↑ L↓ VL↓]",49,23505,"McGreevy, Max",2,2,-0.21,0.964,-0.218,-0.075,281.896,0.022,65.39%,0.032,0.603,0.055,0.371,-0.043,-0.077,0.855,0.309,0.032,-0.676,0.781,67.47%,0.024,55.44%,0.046,2.551,0.027,3.408,0.062,71.020,0.000,3.583,-0.003,0.792,0.000,31.189,0.060,50.931,0.067,90.90%,1.026,17.862,81.10%,0.090,20.956,57.90%,-0.360,38.749,35.20%,0.486,53.397,63.90%,-0.324,31.351,50.60%,0.306,42.009,-0.21,-0.07,-0.081,-0.074
💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.11 (0.065) [S↑ M↑ L↑ VL↓],50,19870,"McCarthy, Denny",4,7,-0.19,0.893,-0.504,-4.156,268.843,0.016,58.49%,0.034,-0.617,0.167,-0.075,-4.661,0.227,3.918,-0.769,0.150,0.025,-0.152,58.54%,0.022,65.34%,0.028,2.690,0.013,4.068,0.019,72.078,0.000,3.190,-0.016,0.270,0.000,30.082,0.022,75.951,0.048,88.20%,-0.540,18.943,85.60%,-0.054,20.812,57.40%,0.576,34.897,32.70%,-0.054,66.755,73.00%,0.432,30.588,46.60%,-0.054,45.545,-0.18,-0.21,0.540,0.037
"💪 Approach <100 Prox, SG Around Green | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↓ z=-0.60 (-0.059) [S↑ M↓ L↑ VL↓]",51,21554,"Poston, J.T.",1,3,-0.26,0.923,0.018,-0.008,282.441,0.019,64.75%,0.019,0.306,-0.028,-0.042,-0.184,0.338,-2.043,0.010,-0.136,-0.129,0.974,62.29%,0.020,61.06%,0.037,2.792,0.049,4.040,0.000,71.344,0.000,3.544,0.018,1.728,0.000,33.861,0.034,62.876,0.035,78.40%,-1.080,19.068,80.00%,-0.360,21.680,56.00%,0.090,40.434,30.30%,1.026,60.801,73.90%,0.306,29.768,48.50%,0.576,45.512,-0.25,-0.11,0.004,-0.074
💪 Approach <100 Prox | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.37 (0.111) [S→ M↓ L↑ VL↓],52,16283,"Rodgers, Patrick",2,5,-0.23,0.899,-0.923,-0.417,290.540,0.020,52.39%,0.010,-0.610,-0.609,-0.724,0.966,0.242,0.087,-0.128,-0.446,-0.337,-0.968,56.09%,0.000,56.72%,0.028,3.942,0.035,4.709,0.173,72.130,0.005,3.698,-0.038,0.613,0.000,35.858,0.043,62.668,0.025,82.00%,-1.116,19.554,75.20%,-0.216,22.204,52.50%,-0.378,39.835,38.50%,0.738,58.921,66.90%,0.360,30.004,45.50%,-0.162,46.154,-0.22,-0.27,0.408,0.048
"💪 Approach <100 Prox, SG OTT | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=5.28 (0.970) [S↑ M↑ L↑ VL↑]",53,22465,"Penge, Marco",0,0,-0.33,0.857,-0.791,0.418,294.459,0.008,46.19%,-0.047,0.416,-0.322,-0.312,0.072,-0.139,-4.052,0.867,-0.071,-1.122,0.055,63.65%,0.027,42.77%,0.008,3.360,-0.020,4.559,0.043,71.411,0.000,3.689,0.010,-1.621,0.000,31.035,-0.020,42.466,-0.025,87.60%,0.540,16.900,71.70%,-1.674,27.683,63.70%,0.180,35.262,35.50%,-0.972,57.067,71.90%,0.936,29.200,38.50%,0.396,42.360,-0.33,-0.11,2.194,0.696
"💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.61 (-0.061) [S↑ M↑ L↑ VL↓]",54,9771,"Day, Jason",3,11,-0.37,0.992,0.664,0.014,277.150,0.017,55.88%,0.017,0.406,-0.051,0.151,-0.348,0.495,0.040,-0.239,-0.218,0.571,0.079,60.82%,0.037,63.02%,0.031,2.934,0.000,2.455,0.039,70.782,0.000,3.552,0.010,-0.867,0.000,35.538,0.025,52.808,-0.011,89.00%,1.458,12.431,81.70%,0.558,20.061,60.50%,0.900,35.876,31.40%,-0.648,67.347,69.70%,-0.720,33.410,47.50%,-0.378,54.281,-0.36,-0.16,0.075,-0.031
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.40 (-0.024) [S↑ M↑ L↑ VL↓]",55,27194,"Hall, Harry",0,1,-0.32,0.921,0.823,-0.021,269.809,0.009,56.46%,0.017,-0.448,0.359,-0.471,0.128,0.351,0.054,-0.328,0.215,1.021,0.152,55.33%,0.008,62.86%,0.019,3.449,0.026,3.033,0.000,69.536,0.000,4.421,0.012,-0.630,0.000,32.071,0.008,57.670,-0.015,87.00%,0.954,16.201,79.40%,0.126,21.539,57.50%,0.126,38.981,35.80%,-0.414,71.600,65.60%,-0.216,31.980,40.40%,-0.468,46.297,-0.31,-0.29,0.105,0.014
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.35 (0.283) [S↓ M↑ L↑ VL↓]",56,17538,"Homa, Max",5,12,-0.36,0.862,-1.269,1.154,276.914,0.015,53.15%,-0.005,-1.722,0.258,-0.713,0.317,-0.681,0.020,-0.328,-1.863,-0.240,-0.131,50.80%,0.024,56.57%,0.000,2.524,-0.061,4.427,-0.022,73.050,0.000,3.172,-0.032,1.146,0.000,33.108,0.011,66.609,0.035,82.20%,0.252,17.567,84.70%,0.414,19.920,48.50%,-0.630,41.295,40.50%,0.594,62.082,65.80%,-0.306,30.579,50.80%,0.612,42.388,-0.35,-0.3,1.011,0.139
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.27 (-0.001) [S↑ M↑ L↑ VL↓]",57,23604,"Clark, Wyndham",4,6,-0.38,0.907,-1.005,1.156,293.437,0.017,54.94%,0.000,-0.558,-0.120,-0.453,-1.357,0.104,0.038,-0.209,0.636,-0.917,-1.818,55.16%,0.020,59.87%,0.018,3.269,0.000,5.074,0.050,72.540,0.000,3.869,0.011,-1.126,0.000,30.852,0.039,70.465,0.014,78.30%,-0.108,16.739,78.50%,0.270,21.221,55.70%,0.198,38.645,26.90%,-1.098,71.152,70.10%,0.450,28.581,54.80%,0.468,43.651,-0.38,-0.27,0.230,0.019
"💪 Approach <100 Prox, SG Putting | 👍 Good course fit | ↑ Total game | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.70 (0.343) [S↑ M↑ L↑ VL↓]",58,16841,"Lee, Min Woo",2,2,-0.36,0.97,0.119,2.027,291.869,0.009,60.88%,0.028,0.259,0.072,0.200,-0.189,0.146,-0.100,-0.088,-0.126,1.322,-0.893,58.07%,0.038,65.60%,0.025,4.166,0.038,4.670,-0.016,71.502,-0.005,4.193,0.041,-2.422,0.000,30.561,0.008,84.404,-0.053,90.40%,0.360,15.411,77.50%,-0.036,21.595,47.80%,-1.368,44.504,29.50%,-1.260,69.959,69.90%,-0.126,30.579,46.60%,-0.144,49.148,-0.36,-0.39,1.032,0.178
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-1.01 (-0.131) [S↓ M↑ L↓ VL↓]",59,14502,"Cauley, Bud",0,0,-0.42,0.874,-0.903,0.139,275.035,0.016,69.22%,0.050,0.052,-0.437,0.308,-0.063,-0.323,0.255,0.068,0.199,-0.832,0.066,64.46%,0.031,43.20%,-0.022,3.090,0.026,4.286,0.044,71.612,0.000,4.112,0.022,1.617,0.000,30.211,0.028,42.538,0.013,88.70%,1.368,15.815,83.40%,0.666,19.333,46.40%,-0.954,39.856,31.70%,0.126,65.046,72.80%,0.702,29.777,44.90%,-0.072,43.887,-0.42,-0.16,-0.063,-0.063
💪 Approach <100 Prox | ⚠️ Poor course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.46 (-0.034) [S↑ M↑ L↓ VL↓],60,8825,"Harman, Brian",0,0,-0.41,0.865,-0.870,-0.226,270.095,0.007,63.25%,0.021,-0.688,-0.363,-0.484,-0.391,0.161,0.774,-0.365,-0.096,-0.187,0.199,56.28%,0.018,56.34%,0.044,2.610,0.009,4.302,0.010,72.214,0.000,3.552,0.011,0.370,0.000,30.126,0.000,59.373,0.020,91.00%,1.656,14.341,79.00%,0.378,20.246,56.90%,-0.072,37.757,33.60%,-0.054,69.866,66.80%,-0.072,29.219,47.90%,-0.234,46.527,-0.4,-0.28,0.027,-0.023
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Tee-to-green | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-1.92 (-0.291) [S↓ M↑ L↓ VL↓]",61,23014,"Theegala, Sahith",2,7,-0.45,0.999,-0.516,-0.268,287.548,0.024,56.44%,0.051,-0.333,-1.126,0.442,-0.996,-0.324,-0.154,-0.451,0.000,-0.140,-0.318,63.56%,0.020,57.20%,0.041,3.176,-0.040,4.219,0.091,72.017,0.004,3.871,-0.029,0.345,0.000,32.136,0.054,49.366,0.005,80.20%,-0.810,19.473,80.00%,-0.288,21.742,48.80%,-0.576,37.604,33.80%,0.252,62.106,67.40%,0.018,29.338,50.00%,0.810,41.922,-0.45,-0.26,-0.466,-0.147
💪 Approach <100 Prox | ↓ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.21 (0.083) [S↑ M↑ L↑ VL↓],62,23465,"Greyserman, Max",0,0,-0.41,0.939,0.286,-0.722,282.656,0.017,57.01%,0.007,-0.056,0.365,-0.113,-0.637,0.090,0.050,-0.033,0.010,0.347,0.495,57.72%,0.030,59.08%,0.068,2.870,0.036,4.167,0.033,71.277,0.000,3.794,-0.014,-1.585,0.000,32.549,0.065,39.813,0.006,82.90%,-1.206,18.021,79.60%,-0.486,22.539,51.20%,-0.054,39.569,26.90%,-0.558,65.181,71.10%,0.252,32.056,48.20%,-0.108,45.271,-0.41,-0.41,0.482,0.042
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.40 (-0.024) [S↓ M↑ L↑ VL↓]",63,23475,"Novak, Andrew",1,3,-0.48,0.965,-0.766,1.937,277.439,0.024,64.73%,0.037,-0.724,-0.438,-0.141,-0.019,-0.726,-0.126,0.143,-0.657,0.009,2.201,59.26%,0.036,57.93%,0.025,3.258,0.019,5.275,0.033,72.228,0.000,4.392,0.017,-0.309,0.000,29.216,0.023,66.801,0.022,86.40%,0.756,15.509,78.80%,-0.036,21.180,51.60%,-0.648,42.185,29.30%,-0.342,70.068,66.30%,0.108,29.125,45.50%,0.036,41.376,-0.47,-0.35,0.241,-0.005
💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.47 (0.129) [S→ M↑ L↑ VL↓],64,25569,"Stevens, Sam",1,3,-0.49,0.972,-0.113,-0.191,288.630,0.021,64.98%,0.038,0.361,-0.074,0.030,-0.139,-0.005,-0.418,0.336,0.071,-0.839,0.369,60.93%,0.022,55.32%,0.011,2.984,-0.005,4.473,0.068,71.684,0.000,3.288,-0.010,-1.239,0.000,31.580,0.062,59.128,-0.028,86.90%,0.306,17.548,81.80%,-0.270,21.796,45.50%,-1.062,40.016,33.10%,0.018,65.430,69.80%,-0.216,31.348,46.30%,-0.216,46.344,-0.48,-0.45,0.686,0.034
