,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Peformance Notes,Rank,DG ID,Player Name,Top 5,Top 10,Weighted Score,Past Perf. Mult.,SG Total,SG Total Trend,Driving Distance,Driving Distance Trend,Driving Accuracy,Driving Accuracy Trend,SG T2G,SG T2G Trend,SG Approach,SG Approach Trend,SG Around Green,SG Around Green Trend,SG OTT,SG OTT Trend,SG Putting,SG Putting Trend,Greens in Regulation,Greens in Regulation Trend,Scrambling,Scrambling Trend,Great Shots,Great Shots Trend,Poor Shots,Poor Shots Trend,Scoring Average,Scoring Average Trend,Birdies or Better,Birdies or Better Trend,Birdie Chances Created,Birdie Chances Created Trend,Fairway Proximity,Fairway Proximity Trend,Rough Proximity,Rough Proximity Trend,Approach <100 GIR,Approach <100 SG,Approach <100 Prox,Approach <150 FW GIR,Approach <150 FW SG,Approach <150 FW Prox,Approach <150 Rough GIR,Approach <150 Rough SG,Approach <150 Rough Prox,Approach >150 Rough GIR,Approach >150 Rough SG,Approach >150 Rough Prox,Approach <200 FW GIR,Approach <200 FW SG,Approach <200 FW Prox,Approach >200 FW GIR,Approach >200 FW SG,Approach >200 FW Prox,Refined Weighted Score,WAR,Delta Trend Score,Delta Predictive Score
"💪 Approach <100 Prox, SG Putting | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.85 (0.195) [S↑ M↑ L↑ VL↓]",11,6093,"Rose, Justin",4,8,0.53,1.036,0.439,-0.010,273.787,0.016,63.54%,0.018,-0.138,-0.051,-0.201,-0.045,0.207,-0.329,-0.144,0.093,0.609,0.124,57.26%,0.032,61.11%,0.026,3.357,-0.006,3.663,-0.029,71.254,0.000,4.300,-0.013,3.792,0.000,32.730,0.014,44.181,-0.018,90.60%,1.350,14.925,81.60%,0.468,18.846,63.00%,0.828,38.474,44.70%,1.170,53.624,72.40%,0.630,27.687,45.60%,-0.072,51.813,0.52,0.31,0.676,0.066
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-2.11 (-0.324) [S↑ M→ L↓ VL↓]",12,14609,"Kim, Si Woo",4,7,0.46,1.115,1.271,-0.038,285.275,0.021,69.76%,0.023,1.083,-0.008,0.284,-0.029,0.277,0.000,0.522,0.021,-0.039,0.026,61.44%,0.030,63.31%,0.030,3.714,0.025,3.967,0.042,70.244,0.000,4.209,-0.008,3.762,0.000,29.824,0.043,52.641,-0.005,83.80%,-0.324,16.559,77.80%,0.090,21.934,51.50%,0.126,36.730,37.00%,0.234,65.621,72.10%,1.350,26.006,49.60%,1.206,39.045,0.45,0.34,-0.562,-0.165
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.47 (0.128) [S↑ M↑ L↑ VL↓]",13,12294,"Fleetwood, Tommy",5,7,0.47,1.028,1.607,0.094,288.166,-0.003,64.39%,-0.009,1.368,0.038,1.129,0.127,0.230,-0.044,0.009,-0.028,0.478,-0.520,63.29%,0.017,66.55%,0.027,3.921,-0.022,3.665,-0.024,70.572,-0.005,4.431,0.046,2.213,0.000,32.657,-0.012,57.253,-0.051,90.30%,0.828,15.164,84.10%,0.468,19.398,58.20%,-0.144,39.966,35.50%,-0.054,69.928,69.40%,0.756,28.322,47.70%,0.450,42.276,0.47,0.23,0.665,0.052
💪 Approach <100 Prox | ↑ Putting | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=0.74 (0.176) [S↓ M↓ L↑ VL↓],14,17576,"Conners, Corey",2,7,0.44,0.902,0.286,-0.321,286.920,-0.005,72.96%,0.004,-0.026,-0.165,-0.214,-0.113,-0.174,0.037,0.362,-0.118,-0.352,0.426,65.39%,0.003,58.53%,-0.005,3.895,-0.006,4.283,0.033,71.207,0.000,4.169,0.008,2.894,0.000,30.896,0.004,54.440,-0.038,84.20%,-0.252,17.428,86.00%,0.828,18.420,55.00%,0.342,35.606,30.90%,0.108,68.499,76.60%,1.080,26.095,49.80%,0.450,44.503,0.43,0.19,0.777,0.031
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.37 (-0.020) [S↑ M↑ L↑ VL↓]",15,17536,"Spaun, J.J.",1,1,0.37,0.899,0.079,0.020,278.080,-0.013,62.78%,-0.020,0.415,0.035,0.014,0.342,-0.022,0.006,0.423,-0.033,-0.467,-0.072,58.57%,0.000,55.43%,0.030,2.851,0.015,3.796,0.029,71.292,0.000,4.065,0.012,4.978,0.000,31.057,0.013,45.853,-0.062,91.50%,1.242,15.533,79.70%,0.486,20.087,58.00%,0.774,33.445,43.10%,1.782,60.931,71.20%,0.522,28.908,51.00%,0.594,42.955,0.37,0.32,0.195,-0.011
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Approach | For Course Setup - ΔPred↑ ΔTrend→ | BucketSig ↑ z=0.79 (0.184) [S↑ M↑ L↑ VL↓]",16,15575,"Hoge, Tom",1,5,0.41,0.889,0.820,0.033,275.553,0.023,62.11%,0.032,0.370,-0.258,0.603,0.379,0.097,-0.017,-0.330,-0.108,0.303,0.004,57.79%,0.032,61.41%,0.043,3.924,0.080,4.464,0.089,70.774,0.000,4.390,0.007,1.890,0.000,30.121,0.070,61.059,0.010,80.00%,0.378,16.520,73.40%,0.540,19.044,59.30%,0.234,37.547,34.90%,0.666,58.536,64.90%,-0.198,28.366,48.10%,0.432,42.586,0.4,0.21,0.553,0.132
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.14 (0.021) [S↓ M↓ L↑ VL↓]",17,18554,"Rai, Aaron",0,1,0.31,0.932,-0.484,1.046,280.650,-0.004,74.66%,-0.005,0.045,-0.176,-0.005,-0.326,0.061,-0.114,-0.012,-0.494,-0.358,-0.028,66.38%,0.011,61.02%,0.017,2.644,-0.007,3.974,0.010,71.847,0.000,3.316,-0.010,3.651,0.000,33.422,-0.005,43.232,-0.033,83.70%,-0.162,17.101,85.90%,0.234,20.573,57.30%,-0.396,40.289,37.90%,1.512,53.655,78.70%,0.918,28.012,52.60%,0.594,42.815,0.31,0.2,0.250,-0.044
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.65 (0.160) [S↓ M↑ L↑ VL↓]",18,17646,"Fitzpatrick, Matt",2,9,0.34,0.983,1.104,0.036,284.513,0.010,68.12%,0.030,0.909,0.136,0.668,0.254,-0.063,-0.446,0.304,0.280,-0.423,-3.654,62.94%,0.044,60.51%,0.000,3.913,0.019,3.739,-0.054,70.484,0.000,4.249,0.000,2.750,0.000,30.833,0.000,83.464,-0.084,89.80%,0.504,15.645,78.40%,-0.342,21.673,58.00%,-0.450,44.809,35.20%,0.432,62.174,67.00%,0.090,29.767,62.30%,1.908,39.667,0.33,0.09,0.613,0.086
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.55 (-0.050) [S↑ M↑ L↓ VL↓]",19,15466,"Cantlay, Patrick",8,8,0.26,0.91,1.172,0.144,270.007,0.000,56.55%,0.000,0.758,0.245,0.705,0.172,-0.093,-0.303,0.146,-0.062,0.365,0.123,61.37%,0.033,53.58%,-0.005,2.502,0.014,3.769,-0.027,70.459,-0.004,4.339,0.039,4.299,0.000,26.878,-0.011,58.092,-0.032,91.70%,0.720,14.888,88.30%,0.684,18.626,62.00%,0.288,37.177,35.10%,1.080,68.043,77.80%,1.080,27.563,44.10%,0.252,42.033,0.26,0.3,-0.021,-0.025
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.80 (-0.095) [S↑ M↓ L↑ VL↓]",20,23504,"Hoey, Rico",0,1,0.25,0.925,-0.667,-0.378,287.789,0.008,65.45%,0.047,0.296,0.119,-0.055,-0.201,-0.136,-0.122,0.487,0.241,-0.992,0.121,65.63%,0.013,60.29%,0.068,3.410,0.033,4.109,0.060,70.773,0.000,3.889,0.014,3.669,0.000,30.169,0.042,50.118,0.018,83.70%,-0.180,17.890,79.80%,-0.216,23.128,59.40%,0.792,36.554,40.20%,0.990,53.996,70.60%,0.972,28.076,51.20%,0.990,40.571,0.25,0.29,0.026,-0.055
