"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score","Delta Predictive Score"
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-1.01 (-0.116) [S↑ M↑ L↑ VL↓]",11,"13900","Lowry, Shane",3,6,"0.50","1.021","0.403","0.088","284.238","-0.003","70.02%","0.009","0.515","0.033","0.988","0.044","-0.172","-0.095","-0.301","-0.164","0.596","0.350","70.39%","0.023","57.41%","0.007","3.275","0.027","4.497","-0.010","71.758","-0.004","3.687","0.044","5.577","0.000","29.151","-0.004","57.825","0.009","84.20%","-0.090","15.783","82.70%","0.432","18.993","59.60%","0.594","37.046","40.80%","1.224","55.831","74.30%","1.512","26.561","56.70%","1.044","43.008","0.49","0.37","-0.003","-0.044"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.03 (0.199) [S↑ M↑ L↑ VL↓]",12,"23950","Aberg, Ludvig",4,6,"0.51","0.933","1.152","0.081","267.387","-0.006","56.74%","-0.004","0.869","0.103","0.527","0.306","0.196","-0.329","0.146","-0.185","0.356","0.067","57.99%","0.020","63.97%","0.024","4.502","0.011","4.720","-0.023","70.608","-0.004","4.560","0.036","0.115","0.000","27.377","-0.009","53.606","-0.072","82.50%","-0.522","17.590","78.90%","-0.180","20.212","54.70%","-0.090","38.339","30.90%","-0.522","76.983","68.70%","0.540","27.706","49.60%","0.684","37.718","0.50","0.26","0.709","0.084"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.28 (0.083) [S↓ M↓ L↑ VL↓]",13,"11889","Fox, Ryan",0,0,"0.48","0.982","1.048","0.097","297.562","0.000","54.01%","0.014","0.732","-0.018","0.188","-0.210","0.155","-0.110","0.389","0.300","0.668","-0.912","64.44%","0.017","63.25%","0.014","3.294","0.026","3.893","-0.029","70.820","-0.005","4.190","0.051","3.281","0.000","31.618","-0.011","54.512","-0.008","85.50%","-0.234","17.545","81.80%","0.306","20.180","61.60%","1.422","33.387","42.20%","1.116","59.074","65.90%","-0.036","29.382","45.80%","0.432","41.680","0.48","0.26","0.284","0.029"
"💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.63 (0.137) [S↓ M↓ L↑ VL↓]",14,"17576","Conners, Corey",2,7,"0.51","0.902","0.286","-0.321","286.933","-0.005","73.01%","0.004","-0.018","-0.165","-0.208","-0.113","-0.172","0.037","0.362","-0.118","-0.678","0.426","65.34%","0.003","58.49%","-0.005","3.908","-0.006","4.289","0.033","71.215","0.000","4.170","0.008","2.814","0.000","30.930","0.004","54.453","-0.038","84.20%","-0.252","17.428","86.00%","0.828","18.420","55.00%","0.342","35.606","30.90%","0.108","68.499","76.60%","1.080","26.095","49.80%","0.450","44.503","0.50","0.19","0.606","0.025"
"💪 Approach <100 Prox, SG Putting | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.06 (0.203) [S↑ M↑ L↑ VL↑]",15,"6093","Rose, Justin",4,8,"0.45","1.027","0.439","-0.010","273.840","0.016","63.67%","0.018","-0.133","-0.051","-0.189","-0.045","0.203","-0.329","-0.146","0.093","0.594","0.124","57.29%","0.032","61.06%","0.026","3.361","-0.006","3.666","-0.029","71.253","0.000","4.308","-0.013","3.784","0.000","32.756","0.014","44.168","-0.018","90.60%","1.350","14.925","81.60%","0.468","18.846","63.00%","0.828","38.474","44.70%","1.170","53.624","72.40%","0.630","27.687","45.60%","-0.072","51.813","0.45","0.24","0.637","0.079"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Approach | For Course Setup - ΔPred↑ ΔTrend→ | BucketSig ↑ z=0.61 (0.134) [S↑ M↑ L↑ VL↓]",16,"15575","Hoge, Tom",1,5,"0.42","0.927","0.851","0.033","275.585","0.023","62.24%","0.032","0.393","-0.258","0.607","0.379","0.107","-0.017","-0.321","-0.108","0.382","0.004","57.75%","0.032","61.41%","0.043","3.925","0.080","4.452","0.089","70.757","0.000","4.394","0.007","1.909","0.000","30.114","0.070","60.880","0.010","80.00%","0.378","16.520","73.40%","0.540","19.044","59.30%","0.234","37.547","34.90%","0.666","58.536","64.90%","-0.198","28.366","48.10%","0.432","42.586","0.42","0.23","0.411","0.092"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.66 (-0.062) [S↓ M↑ L↑ VL↓]",17,"15466","Cantlay, Patrick",8,8,"0.35","0.910","1.146","0.144","269.993","0.000","56.59%","0.000","0.750","0.245","0.698","0.172","-0.085","-0.303","0.137","-0.062","0.162","0.123","61.16%","0.033","53.60%","-0.005","2.498","0.014","3.780","-0.027","70.495","-0.004","4.323","0.039","4.246","0.000","26.933","-0.011","58.318","-0.032","91.70%","0.720","14.888","88.30%","0.684","18.626","62.00%","0.288","37.177","35.10%","1.080","68.043","77.80%","1.080","27.563","44.10%","0.252","42.033","0.35","0.28","-0.040","-0.030"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.51 (0.119) [S↓ M↑ L↑ VL↓]",18,"17646","Fitzpatrick, Matt",2,9,"0.39","0.988","1.123","0.036","284.501","0.010","68.14%","0.030","0.920","0.136","0.670","0.254","-0.052","-0.446","0.303","0.280","-0.436","-3.654","62.88%","0.044","60.64%","0.000","3.914","0.019","3.732","-0.054","70.474","0.000","4.254","0.000","2.748","0.000","30.880","0.000","83.564","-0.084","89.80%","0.504","15.645","78.40%","-0.342","21.673","58.00%","-0.450","44.809","35.20%","0.432","62.174","67.00%","0.090","29.767","62.30%","1.908","39.667","0.39","0.17","0.469","0.062"
"💪 Approach <100 Prox, SG OTT | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.11 (0.056) [S↓ M↑ L↑ VL↓]",19,"18634","McNealy, Maverick",3,5,"0.37","0.996","1.556","0.000","290.191","0.000","66.65%","0.030","1.207","0.060","0.553","0.067","0.102","0.128","0.551","0.031","-0.226","-0.159","64.85%","0.012","62.86%","0.015","3.767","0.040","3.592","0.034","70.046","0.000","4.592","0.034","1.614","0.000","32.806","0.004","59.389","-0.025","84.70%","-0.072","16.139","83.40%","0.396","19.900","54.00%","-0.378","40.752","37.20%","0.630","62.306","71.80%","0.504","30.014","46.90%","0.000","46.658","0.36","0.19","0.356","0.033"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.19 (0.011) [S↑ M↑ L↑ VL↓]",20,"26096","Bhatia, Akshay",1,3,"0.29","1.006","0.597","0.929","281.393","0.018","64.20%","0.026","0.596","0.744","0.771","-0.011","-0.165","-0.186","-0.011","-0.448","-0.055","0.445","64.37%","0.041","61.03%","0.021","3.519","-0.019","4.630","-0.011","70.980","-0.003","4.279","0.007","2.199","0.000","30.340","0.021","51.760","0.000","84.60%","-0.846","18.046","83.50%","0.702","20.085","57.90%","0.522","37.314","31.80%","0.000","62.782","70.90%","0.846","27.569","49.10%","0.684","42.002","0.28","0.21","0.157","-0.012"
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.24 (0.003) [S↑ M↑ L↑ VL↓]",21,"22760","Hisatsune, Ryo",1,3,"0.28","1.030","1.179","-0.068","284.260","0.023","68.18%","0.065","0.433","-0.098","-0.479","-1.105","0.495","0.018","0.418","0.122","0.778","0.065","66.44%","0.029","62.67%","0.019","3.735","0.102","2.599","0.099","69.285","0.000","4.469","-0.009","0.845","0.000","35.148","0.092","39.195","-0.031","80.30%","-1.764","20.055","84.70%","-0.360","22.175","62.80%","0.612","36.506","36.90%","0.126","62.054","72.60%","0.702","29.468","46.80%","0.198","45.213","0.28","0.18","0.181","-0.009"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.60 (-0.053) [S↑ M↑ L↑ VL↓]",22,"17536","Spaun, J.J.",1,1,"0.21","0.939","0.081","0.020","278.069","-0.013","62.94%","-0.020","0.412","0.035","-0.002","0.342","-0.020","0.006","0.433","-0.033","-0.411","-0.072","58.38%","0.000","55.34%","0.030","2.855","0.015","3.783","0.029","71.306","0.000","4.063","0.012","4.983","0.000","31.145","0.013","46.018","-0.062","91.50%","1.242","15.533","79.70%","0.486","20.087","58.00%","0.774","33.445","43.10%","1.782","60.931","71.20%","0.522","28.908","51.00%","0.594","42.955","0.21","0.18","0.048","-0.027"
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.60 (-0.053) [S↑ M↑ L↑ VL↓]",23,"14577","English, Harris",4,7,"0.20","0.958","1.742","0.053","288.399","0.023","65.23%","0.006","0.683","0.011","0.387","0.241","-0.284","-5.137","0.580","0.090","0.831","0.296","67.64%","0.023","59.12%","0.012","3.422","0.064","3.255","0.053","69.862","0.000","4.775","0.018","1.541","0.000","32.483","0.024","50.754","0.073","85.90%","0.342","16.145","76.30%","-0.594","23.175","58.10%","-0.162","38.811","40.20%","0.630","59.083","74.10%","0.522","28.873","49.50%","0.018","44.700","0.19","0.19","0.119","-0.032"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.06 (0.031) [S↑ M↑ L↑ VL↓]",24,"13872","Bradley, Keegan",2,6,"0.20","0.928","0.594","-0.163","286.254","0.000","66.90%","0.004","0.273","-0.215","-0.224","-6.649","0.192","0.401","0.304","-0.021","0.178","-0.024","61.07%","0.006","63.10%","0.016","3.822","-0.028","4.168","0.009","71.126","0.000","4.272","0.009","-0.105","0.000","31.038","0.024","65.933","-0.019","77.60%","-0.702","18.580","85.80%","0.864","18.893","56.50%","-0.288","38.251","28.20%","-0.918","71.119","67.10%","0.360","28.348","50.40%","0.306","43.999","0.20","0.13","0.410","-0.000"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.05 (0.032) [S↓ M↑ L↑ VL↓]",25,"24968","Griffin, Ben",2,3,"0.21","0.972","1.059","-0.082","287.058","0.008","59.79%","0.018","0.756","-0.083","0.497","0.256","0.219","-0.075","0.041","-0.532","-0.304","0.022","65.19%","0.010","62.11%","0.048","3.891","0.035","3.116","0.057","70.381","0.000","4.263","-0.017","3.326","0.000","31.625","0.027","50.082","0.007","85.80%","0.864","15.247","82.90%","-0.306","22.645","60.00%","0.468","40.558","38.20%","1.242","57.035","68.50%","-0.054","30.856","55.70%","1.044","42.651","0.21","0.09","0.280","0.027"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.36 (-0.016) [S↓ M↓ L↑ VL↓]",26,"18554","Rai, Aaron",0,1,"0.19","0.948","-0.486","1.046","280.639","-0.004","74.85%","-0.005","0.049","-0.176","-0.008","-0.326","0.067","-0.114","-0.010","-0.494","-0.260","-0.028","66.33%","0.011","60.99%","0.017","2.644","-0.007","3.978","0.010","71.859","0.000","3.304","-0.010","3.672","0.000","33.477","-0.005","43.135","-0.033","83.70%","-0.162","17.101","85.90%","0.234","20.573","57.30%","-0.396","40.289","37.90%","1.512","53.655","78.70%","0.918","28.012","52.60%","0.594","42.815","0.19","0.12","0.124","-0.057"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.61 (0.135) [S↑ M↑ L↑ VL↑]",27,"22833","Echavarria, Nico",1,2,"0.19","0.957","0.145","0.524","276.921","0.016","62.87%","0.010","0.004","-0.600","0.333","-0.664","-0.555","-0.120","0.226","0.000","0.140","0.370","60.63%","0.024","53.82%","0.099","3.490","0.133","3.573","-0.010","70.922","0.000","4.188","0.017","1.482","0.000","32.926","0.067","47.820","0.086","82.50%","-0.108","16.463","77.60%","-0.252","21.184","59.20%","0.720","34.564","38.50%","0.612","57.435","70.60%","0.360","28.633","44.10%","0.018","43.934","0.19","0.04","0.367","0.044"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.66 (-0.062) [S↑ M↓ L↑ VL↓]",28,"23504","Hoey, Rico",0,1,"0.11","0.935","-0.667","-0.378","287.789","0.008","65.45%","0.047","0.296","0.119","-0.055","-0.201","-0.136","-0.122","0.487","0.241","-0.992","0.121","65.63%","0.013","60.29%","0.068","3.410","0.033","4.109","0.060","70.773","0.000","3.889","0.014","3.669","0.000","30.169","0.042","50.118","0.018","83.70%","-0.180","17.890","79.80%","-0.216","23.128","59.40%","0.792","36.554","40.20%","0.990","53.996","70.60%","0.972","28.076","51.20%","0.990","40.571","0.11","0.14","0.027","-0.035"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.52 (0.121) [S↑ M↑ L↑ VL↓]",29,"7399","Glover, Lucas",1,1,"0.13","0.941","-1.385","0.395","280.181","-0.004","74.13%","0.000","-0.393","-0.131","-0.186","-0.094","-0.008","-1.906","-0.199","0.132","-1.067","0.238","59.23%","0.006","64.36%","0.008","3.439","0.037","5.990","0.019","73.466","0.000","3.232","0.028","2.324","0.000","35.800","-0.008","73.048","-0.012","89.30%","0.828","14.693","82.20%","1.008","19.052","54.00%","1.278","37.435","29.60%","0.018","73.963","71.30%","0.972","27.495","42.80%","-0.234","44.250","0.13","0.03","0.446","0.048"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.09 (0.027) [S↓ M↑ L↑ VL↓]",30,"23323","MacIntyre, Robert",1,1,"0.12","0.984","0.579","0.008","273.469","0.000","64.27%","0.009","0.064","-2.743","-0.027","0.452","-0.297","-0.099","0.388","-0.031","0.475","0.141","61.17%","0.015","64.07%","0.023","2.737","-0.019","2.894","-0.027","70.810","0.000","3.942","0.000","1.032","0.000","32.464","0.013","45.447","-0.053","87.40%","-1.098","18.761","81.00%","-0.072","21.897","64.50%","1.422","35.028","34.90%","0.450","57.721","67.90%","-0.072","30.291","49.20%","0.324","39.998","0.12","0.02","0.207","0.020"
"💪 Approach <100 Prox, SG Putting | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.13 (0.020) [S↑ M↑ L↑ VL↓]",31,"29433","Bridgeman, Jacob",1,2,"0.11","0.996","0.565","0.018","279.213","0.016","57.16%","0.005","0.209","0.008","0.641","0.124","-0.341","-0.044","-0.091","-3.107","0.745","0.045","62.35%","0.021","62.74%","0.047","3.784","0.103","3.381","0.077","70.392","0.000","4.191","0.007","1.496","0.000","28.939","0.062","57.590","-0.016","92.30%","0.000","16.772","82.80%","0.324","20.310","56.20%","0.828","41.721","36.40%","0.432","61.663","67.30%","-0.018","30.712","46.10%","0.054","44.789","0.11","0.03","0.158","0.022"
