"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score","Delta Predictive Score"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.31 (0.088) [S↑ M↑ L↑ VL↓]",32,"13126","Taylor, Nick",1,2,"0.12","0.942","0.705","-0.093","278.496","0.011","65.80%","0.022","0.739","0.197","0.634","0.574","0.224","-0.370","-0.119","0.174","-0.706","-1.037","67.64%","0.023","62.87%","0.008","3.231","0.011","3.661","0.035","70.843","0.000","3.503","-0.023","0.777","0.000","30.230","0.013","55.275","-0.021","80.50%","-0.270","19.279","83.70%","0.216","21.343","52.30%","-0.810","35.173","27.80%","-0.072","66.156","73.00%","0.126","29.329","54.30%","0.972","42.812","0.12","-0.01","0.429","0.033"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-0.84 (-0.089) [S↑ M↑ L↓ VL↓]",33,"17606","Berger, Daniel",2,3,"0.06","0.981","-0.281","-0.843","284.771","0.015","67.76%","0.025","0.306","-0.481","0.156","-0.308","-0.175","0.443","0.326","-0.093","-0.437","2.108","65.34%","0.020","56.76%","0.000","3.219","0.016","3.880","0.106","71.700","0.004","3.395","-0.011","2.501","0.000","31.411","0.022","58.992","0.067","89.60%","0.342","15.516","80.10%","-0.072","21.392","57.80%","0.342","36.861","43.50%","0.378","61.750","72.70%","0.900","27.659","50.40%","0.540","41.578","0.06","0.11","-0.087","-0.065"
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.23 (0.075) [S↓ M↑ L↑ VL↓]",34,"17780","Pendrith, Taylor",1,7,"0.10","0.940","1.250","-0.009","275.361","0.000","51.40%","-0.010","1.525","-0.091","0.902","-0.105","0.080","0.133","0.544","-0.036","0.702","-0.511","60.65%","0.006","57.28%","0.027","3.545","-0.020","3.664","-0.024","70.396","0.000","4.586","0.032","1.372","0.000","29.248","-0.008","58.884","-0.009","82.40%","-0.720","18.499","79.80%","-0.036","22.441","55.70%","0.252","40.922","35.00%","0.648","63.978","73.00%","0.486","29.780","45.00%","-0.324","47.235","0.10","-0.03","0.364","0.034"
"💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↑ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.56 (0.282) [S↓ M↑ L↑ VL↓]",35,"19483","Burns, Sam",1,5,"0.09","0.910","0.968","-0.038","284.808","0.008","60.27%","0.011","0.163","-0.073","0.283","0.328","-0.275","0.808","0.156","0.073","0.454","0.043","60.16%","0.028","60.65%","0.016","4.679","0.034","4.421","0.016","70.540","0.000","4.463","0.004","-0.118","0.000","32.654","0.008","51.785","-0.036","81.00%","-0.162","17.342","80.50%","0.432","19.823","55.60%","0.198","40.249","34.00%","0.018","65.225","66.90%","0.054","30.050","43.70%","-0.540","47.518","0.09","-0.05","0.979","0.133"
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Tee-to-green | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-1.17 (-0.141) [S↓ M↓ L↑ VL↓]",36,"12965","Fowler, Rickie",1,3,"0.03","0.971","0.501","-0.244","281.392","0.011","68.73%","0.028","0.311","2.248","0.131","-0.671","-0.130","0.060","0.310","-0.117","0.611","0.232","62.07%","0.019","63.14%","0.024","3.451","0.000","3.365","0.021","71.106","0.000","3.794","0.016","1.558","0.000","31.148","0.035","45.700","0.041","86.60%","0.072","17.686","79.40%","0.468","21.285","62.60%","1.458","33.245","35.80%","0.108","63.359","63.60%","-0.234","30.896","51.80%","0.630","43.433","0.03","0.08","-0.066","-0.069"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.07 (0.028) [S↑ M↑ L↑ VL↓]",37,"23816","Valimaki, Sami",2,2,"0.04","0.941","-0.254","-0.055","267.488","0.029","60.80%","0.032","-0.327","-0.012","-0.427","-0.180","0.417","0.206","-0.316","3.748","0.119","-0.093","59.86%","0.028","54.81%","0.080","3.048","0.082","3.633","0.119","70.424","0.000","4.615","0.011","2.340","0.000","27.870","0.082","43.989","0.059","86.90%","-0.018","17.226","80.30%","0.198","21.824","60.50%","0.414","39.586","37.60%","0.486","61.811","69.70%","0.378","29.038","52.00%","0.720","40.814","0.04","-0.02","0.243","0.026"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.69 (-0.067) [S↑ M↑ L↑ VL↓]",38,"6430","Scott, Adam",2,4,"0.00","0.957","0.781","0.020","272.518","0.004","52.88%","-0.025","0.923","0.051","0.040","-1.301","0.218","0.569","0.665","0.030","-0.131","0.351","54.45%","-0.009","59.39%","0.008","3.089","-0.022","3.028","-0.050","71.076","0.000","3.648","0.013","0.846","0.000","25.998","-0.025","56.022","0.022","85.20%","1.044","15.113","77.90%","-0.396","20.643","53.10%","0.450","38.665","27.70%","0.126","62.251","67.00%","-0.162","30.003","49.90%","0.450","42.528","0.00","0.04","0.080","-0.049"
"💪 SG Around Green, Approach <100 Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Putting | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-1.14 (-0.136) [S↑ M↓ L↓ VL↓]",39,"27774","Gotterup, Chris",2,2,"-0.01","1.102","0.860","-0.071","296.919","0.006","56.03%","0.009","1.320","0.042","-0.061","-0.535","0.772","0.470","0.609","0.034","-0.734","0.830","61.84%","0.000","64.87%","0.003","4.442","0.032","3.955","0.040","69.464","0.000","5.006","0.017","0.616","0.000","33.375","0.037","43.318","-0.032","85.10%","-0.180","18.423","82.50%","0.072","22.113","57.20%","0.612","39.977","33.10%","0.522","56.448","69.90%","0.126","30.611","44.80%","-0.522","47.825","-0.01","0.01","-0.255","-0.073"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend↓ | BucketSig ↓ z=-0.68 (-0.065) [S↑ M↑ L↓ VL↓]",40,"21891","Kitayama, Kurt",1,1,"-0.02","0.975","-0.481","0.111","291.919","0.014","57.62%","0.040","0.400","-0.118","0.417","0.000","-0.148","1.068","0.130","0.098","-0.287","-0.037","61.60%","0.030","56.53%","0.009","2.964","0.020","4.740","0.010","71.776","0.000","3.430","0.000","2.861","0.000","32.313","0.011","47.476","-0.036","80.80%","0.144","17.204","79.50%","0.432","21.077","56.20%","0.504","38.504","33.10%","0.666","56.818","70.40%","0.540","29.394","46.70%","0.666","37.418","-0.02","0.01","-0.068","-0.010"
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.40 (-0.022) [S↓ M↑ L↑ VL↓]",41,"29767","Gerard, Ryan",2,3,"-0.07","1.018","1.199","-0.040","266.880","0.020","60.81%","0.022","1.037","-0.041","0.756","0.104","-0.249","32.360","0.530","0.000","0.480","0.182","62.28%","0.038","50.82%","-0.015","3.002","0.019","3.251","0.000","70.031","0.000","4.367","-0.013","3.157","0.000","27.637","0.024","59.223","-0.004","80.80%","-0.504","17.484","79.70%","-0.072","22.105","55.00%","1.098","35.777","37.30%","0.540","61.742","67.30%","0.306","29.874","50.30%","1.476","36.669","-0.07","0.07","0.080","-0.005"
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.38 (-0.019) [S↓ M↑ L↑ VL↓]",42,"11676","Finau, Tony",3,7,"-0.04","0.891","0.343","0.253","283.065","0.017","51.25%","0.016","0.159","-0.295","0.428","0.056","0.052","-0.830","-0.321","0.533","0.884","-0.610","59.85%","0.045","64.12%","0.041","3.105","0.021","3.954","0.000","71.374","0.000","4.099","0.025","0.791","0.000","29.997","0.031","50.912","-0.018","82.30%","-0.810","18.568","83.20%","-0.018","20.554","49.00%","-1.062","41.255","36.80%","0.486","54.143","70.30%","0.504","29.558","45.60%","0.072","42.127","-0.04","-0.02","0.272","-0.009"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.25 (0.079) [S↑ M↑ L↑ VL↓]",43,"14636","Spieth, Jordan",7,8,"-0.03","0.905","0.352","0.709","293.904","-0.004","62.06%","-0.012","0.044","0.753","-0.347","0.015","0.280","-0.095","0.112","-0.583","0.105","0.763","60.07%","0.009","60.56%","0.000","3.303","-0.003","3.666","-0.028","71.232","0.000","4.221","0.032","-0.340","0.000","34.959","0.018","64.885","-0.013","86.60%","0.486","15.751","79.60%","-0.054","21.142","56.70%","0.486","35.626","35.80%","0.090","62.623","63.80%","-0.504","32.471","46.30%","-0.162","40.794","-0.03","-0.08","0.483","0.029"
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=1.13 (0.215) [S↑ M↓ L↑ VL↑]",44,"19396","Knapp, Jake",2,4,"-0.03","1.017","0.609","0.000","300.457","0.004","55.24%","0.006","0.163","-0.009","-0.283","0.033","0.398","0.099","0.048","-0.124","0.826","0.066","57.94%","0.005","65.32%","0.006","4.126","0.032","3.371","0.052","70.755","0.000","3.757","0.011","-0.668","0.000","36.142","0.007","56.250","0.016","88.20%","0.504","18.559","78.40%","-0.054","22.305","60.10%","1.296","34.906","33.80%","-0.324","63.790","62.70%","-1.026","33.074","47.70%","0.126","43.755","-0.03","-0.09","0.666","0.072"
"💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.24 (0.002) [S↑ M↑ L↓ VL↓]",45,"10419","Noren, Alex",1,1,"-0.07","0.917","0.254","-0.019","253.072","-0.006","58.56%","0.015","0.367","0.053","-0.021","0.072","0.431","-0.077","-0.043","-1.150","-0.211","-0.135","56.35%","0.023","56.93%","-0.003","3.309","-0.013","3.056","-0.028","71.383","0.000","4.252","0.011","2.651","0.000","29.135","-0.005","74.700","0.022","83.60%","-1.098","19.341","77.20%","-0.198","21.916","51.80%","-0.216","40.647","41.40%","1.620","57.442","70.90%","0.360","29.476","42.10%","0.378","43.150","-0.07","-0.10","0.043","0.025"
"💪 Approach <100 Prox, SG OTT | 👍 Good course fit | ↓ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.37 (-0.017) [S↓ M↑ L↑ VL↓]",46,"26651","Young, Cameron",1,5,"-0.12","0.931","-0.051","-1.197","298.582","0.000","62.28%","0.010","0.060","-0.478","-0.463","0.223","-0.029","0.025","0.552","-0.040","-0.472","0.449","61.36%","0.007","56.78%","0.010","4.375","0.017","4.706","0.052","71.723","0.000","4.035","0.006","0.419","0.000","33.470","0.011","48.652","0.004","84.00%","-0.234","16.852","78.40%","0.288","20.934","58.90%","0.612","37.568","35.70%","0.576","61.783","67.80%","0.180","28.552","42.20%","-0.720","47.659","-0.11","-0.07","0.078","-0.027"
"💪 Approach <100 Prox, SG Putting | 👍 Good course fit | ↑ Total game | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.42 (0.260) [S↑ M↑ L↑ VL↑]",47,"16841","Lee, Min Woo",2,2,"-0.11","0.978","0.135","2.027","291.846","0.009","61.13%","0.028","0.288","0.072","0.224","-0.189","0.143","-0.100","-0.079","-0.126","1.321","-0.893","58.08%","0.038","65.43%","0.025","4.182","0.038","4.653","-0.016","71.511","-0.005","4.180","0.041","-2.408","0.000","30.704","0.008","84.295","-0.053","90.40%","0.360","15.411","77.50%","-0.036","21.595","47.80%","-1.368","44.504","29.50%","-1.260","69.959","69.90%","-0.126","30.579","46.60%","-0.144","49.148","-0.11","-0.16","0.763","0.127"
"💪 Approach <100 Prox, SG Around Green | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.01 (0.039) [S↑ M↑ L↑ VL↓]",48,"9771","Day, Jason",3,11,"-0.16","0.994","0.718","0.014","277.178","0.017","56.43%","0.017","0.427","-0.051","0.168","-0.348","0.491","0.040","-0.232","-0.218","0.588","0.079","60.84%","0.037","63.34%","0.031","2.948","0.000","2.432","0.039","70.767","0.000","3.547","0.010","-0.860","0.000","35.626","0.025","52.870","-0.011","89.00%","1.458","12.431","81.70%","0.558","20.061","60.50%","0.900","35.876","31.40%","-0.648","67.347","69.70%","-0.720","33.410","47.50%","-0.378","54.281","-0.15","-0.08","0.193","0.020"
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.26 (-0.000) [S→ M↑ L↑ VL↓]",49,"27194","Hall, Harry",0,1,"-0.20","0.932","0.823","-0.021","269.809","0.009","56.46%","0.017","-0.448","0.359","-0.471","0.128","0.351","0.054","-0.328","0.215","1.021","0.152","55.33%","0.008","62.86%","0.019","3.449","0.026","3.033","0.000","69.536","0.000","4.421","0.012","-0.630","0.000","32.071","0.008","57.670","-0.015","87.00%","0.954","16.201","79.40%","0.126","21.539","57.50%","0.126","38.981","35.80%","-0.414","71.600","65.60%","-0.216","31.980","40.40%","-0.468","46.297","-0.20","-0.18","0.127","0.016"
"💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↑ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.38 (0.098) [S↑ M↓ L↑ VL↓]",50,"17543","Kim, Michael",1,2,"-0.21","0.970","-0.806","2.176","281.708","0.011","52.62%","0.009","-1.135","0.222","0.149","0.172","0.018","-0.680","-1.301","0.089","-0.238","-0.139","55.39%","0.025","66.15%","0.000","3.330","-0.014","4.429","0.054","72.293","0.000","3.595","0.008","1.864","0.000","31.594","0.004","73.668","-0.006","83.70%","0.414","16.010","80.40%","0.738","18.884","52.90%","0.144","37.531","40.40%","0.936","55.802","66.90%","-0.180","30.788","46.10%","-0.180","45.321","-0.20","-0.20","0.384","0.054"
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.38 (-0.019) [S↓ M↑ L↑ VL↓]",51,"28635","McCarty, Matt",1,1,"-0.26","0.934","0.151","-0.213","273.465","0.019","68.28%","0.035","-1.040","4.293","-0.588","-1.305","-0.532","0.214","0.079","-0.103","1.375","0.233","59.10%","0.022","59.66%","0.020","3.161","0.016","3.467","0.039","70.489","0.000","4.240","-0.010","0.545","0.000","34.164","0.050","45.747","-0.020","83.50%","0.072","16.422","77.10%","-0.252","22.859","57.90%","0.756","36.799","35.70%","0.126","65.210","66.50%","0.306","28.862","45.20%","-0.414","43.925","-0.26","-0.13","0.166","-0.021"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↓ z=-0.82 (-0.087) [S→ M↑ L↓ VL↓]",52,"23505","McGreevy, Max",2,2,"-0.28","0.977","-0.132","-0.075","280.517","0.022","64.93%","0.032","0.637","0.055","0.341","-0.043","-0.013","0.855","0.308","0.032","-0.633","0.781","68.45%","0.024","55.92%","0.046","2.471","0.027","3.224","0.062","70.718","0.000","3.683","-0.003","0.824","0.000","31.030","0.060","49.737","0.067","90.90%","1.026","17.862","81.10%","0.090","20.956","57.90%","-0.360","38.749","35.20%","0.486","53.397","63.90%","-0.324","31.351","50.60%","0.306","42.009","-0.27","-0.11","-0.063","-0.058"
"💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.01 (0.042) [S↑ M↑ L↑ VL↓]",53,"19870","McCarthy, Denny",4,7,"-0.27","0.919","-0.511","-4.156","268.820","0.016","58.52%","0.034","-0.629","0.167","-0.082","-4.661","0.224","3.918","-0.771","0.150","0.035","-0.152","58.46%","0.022","65.39%","0.028","2.699","0.013","4.068","0.019","72.094","0.000","3.186","-0.016","0.272","0.000","30.119","0.022","76.030","0.048","88.20%","-0.540","18.943","85.60%","-0.054","20.812","57.40%","0.576","34.897","32.70%","-0.054","66.755","73.00%","0.432","30.588","46.60%","-0.054","45.545","-0.26","-0.25","0.369","0.027"
"💪 Approach <100 Prox, SG Around Green | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↓ z=-0.75 (-0.076) [S↑ M↓ L↑ VL↓]",54,"21554","Poston, J.T.",1,3,"-0.31","0.939","0.023","-0.008","282.456","0.019","64.89%","0.019","0.302","-0.028","-0.046","-0.184","0.335","-2.043","0.013","-0.136","-0.108","0.974","62.20%","0.020","60.98%","0.037","2.776","0.049","4.023","0.000","71.354","0.000","3.537","0.018","1.730","0.000","33.896","0.034","63.092","0.035","78.40%","-1.080","19.068","80.00%","-0.360","21.680","56.00%","0.090","40.434","30.30%","1.026","60.801","73.90%","0.306","29.768","48.50%","0.576","45.512","-0.30","-0.17","-0.056","-0.076"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.36 (-0.015) [S↑ M↑ L↑ VL↓]",55,"23475","Novak, Andrew",1,3,"-0.29","0.971","-0.593","1.937","275.458","0.024","64.26%","0.037","-0.518","-0.438","-0.082","-0.019","-0.581","-0.126","0.145","-0.657","0.004","2.201","60.08%","0.036","57.88%","0.025","3.247","0.019","5.196","0.033","71.759","0.000","4.628","0.017","-0.299","0.000","28.697","0.023","64.350","0.022","86.40%","0.756","15.509","78.80%","-0.036","21.180","51.60%","-0.648","42.185","29.30%","-0.342","70.068","66.30%","0.108","29.125","45.50%","0.036","41.376","-0.29","-0.22","0.197","0.000"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.90 (-0.099) [S↓ M↑ L↓ VL↓]",56,"14502","Cauley, Bud",0,0,"-0.36","0.931","-0.903","0.139","275.035","0.016","69.22%","0.050","0.052","-0.437","0.308","-0.063","-0.323","0.255","0.068","0.199","-0.832","0.066","64.46%","0.031","43.20%","-0.022","3.090","0.026","4.286","0.044","71.612","0.000","4.112","0.022","1.617","0.000","30.211","0.028","42.538","0.013","88.70%","1.368","15.815","83.40%","0.666","19.333","46.40%","-0.954","39.856","31.70%","0.126","65.046","72.80%","0.702","29.777","44.90%","-0.072","43.887","-0.36","-0.16","-0.024","-0.050"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.38 (-0.019) [S↑ M↑ L↓ VL↓]",57,"23604","Clark, Wyndham",4,6,"-0.34","0.934","-1.008","1.156","293.437","0.017","55.09%","0.000","-0.551","-0.120","-0.452","-1.357","0.105","0.038","-0.205","0.636","-0.946","-1.818","55.10%","0.020","59.82%","0.018","3.277","0.000","5.079","0.050","72.550","0.000","3.868","0.011","-1.124","0.000","30.855","0.039","70.534","0.014","78.30%","-0.108","16.739","78.50%","0.270","21.221","55.70%","0.198","38.645","26.90%","-1.098","71.152","70.10%","0.450","28.581","54.80%","0.468","43.651","-0.33","-0.24","0.094","0.007"
"💪 Approach <100 Prox | ⚠️ Poor course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.41 (-0.024) [S→ M↑ L↓ VL↓]",58,"8825","Harman, Brian",0,0,"-0.41","0.865","-0.886","-0.226","270.133","0.007","63.30%","0.021","-0.693","-0.363","-0.494","-0.391","0.164","0.774","-0.363","-0.096","-0.522","0.199","56.08%","0.018","56.23%","0.044","2.603","0.009","4.312","0.010","72.245","0.000","3.540","0.011","0.285","0.000","30.170","0.000","59.554","0.020","91.00%","1.656","14.341","79.00%","0.378","20.246","56.90%","-0.072","37.757","33.60%","-0.054","69.866","66.80%","-0.072","29.219","47.90%","-0.234","46.527","-0.41","-0.27","0.010","-0.019"
"💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.48 (0.114) [S↓ M↓ L↑ VL↓]",59,"16283","Rodgers, Patrick",2,5,"-0.39","0.914","-1.208","-0.417","290.368","0.020","50.97%","0.010","-0.690","-0.609","-0.695","0.966","0.216","0.087","-0.211","-0.446","-0.412","-0.968","54.96%","0.000","55.34%","0.028","3.814","0.035","4.815","0.173","72.479","0.005","3.563","-0.038","0.605","0.000","35.995","0.043","63.297","0.025","82.00%","-1.116","19.554","75.20%","-0.216","22.204","52.50%","-0.378","39.835","38.50%","0.738","58.921","66.90%","0.360","30.004","45.50%","-0.162","46.154","-0.39","-0.38","0.386","0.058"
"💪 Approach <100 Prox, SG OTT | ✅ Strong course fit | ↓ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=6.04 (0.973) [S↑ M↑ L↑ VL↑]",60,"22465","Penge, Marco",0,0,"-0.46","0.899","-0.791","0.418","294.459","0.008","46.19%","-0.047","0.416","-0.322","-0.312","0.072","-0.139","-4.052","0.867","-0.071","-1.122","0.055","63.65%","0.027","42.77%","0.008","3.360","-0.020","4.559","0.043","71.411","0.000","3.689","0.010","-1.621","0.000","31.035","-0.020","42.466","-0.025","87.60%","0.540","16.900","71.70%","-1.674","27.683","63.70%","0.180","35.262","35.50%","-0.972","57.067","71.90%","0.936","29.200","38.50%","0.396","42.360","-0.46","-0.20","2.223","0.694"
"💪 Approach <100 Prox | ⚠️ Poor course fit | ℹ️ Recent bucket trend strong (short-term) despite baseline fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=0.66 (0.142) [S↑ M↑ L↑ VL↓]",61,"25569","Stevens, Sam",1,3,"-0.43","0.983","-0.110","-0.191","288.642","0.021","64.90%","0.038","0.369","-0.074","0.033","-0.139","-0.002","-0.418","0.338","0.071","-0.838","0.369","60.67%","0.022","55.35%","0.011","3.007","-0.005","4.482","0.068","71.702","0.000","3.271","-0.010","-1.240","0.000","31.625","0.062","59.016","-0.028","86.90%","0.306","17.548","81.80%","-0.270","21.796","45.50%","-1.062","40.016","33.10%","0.018","65.430","69.80%","-0.216","31.348","46.30%","-0.216","46.344","-0.42","-0.39","0.637","0.044"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.88 (-0.096) [S↓ M↑ L↓ VL↓]",62,"23014","Theegala, Sahith",2,7,"-0.52","0.999","-0.549","-0.268","287.457","0.024","57.41%","0.051","-0.294","-1.126","0.487","-0.996","-0.371","-0.154","-0.411","0.000","-0.167","-0.318","63.48%","0.020","56.79%","0.041","3.182","-0.040","4.295","0.091","72.118","0.004","3.841","-0.029","0.344","0.000","32.098","0.054","50.377","0.005","80.20%","-0.810","19.473","80.00%","-0.288","21.742","48.80%","-0.576","37.604","33.80%","0.252","62.106","67.40%","0.018","29.338","50.00%","0.810","41.922","-0.51","-0.30","-0.026","-0.055"
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred↑ ΔTrend→ | BucketSig ↑ z=0.73 (0.152) [S↓ M↑ L↑ VL↓]",63,"17538","Homa, Max",5,12,"-0.54","0.862","-1.252","1.154","276.921","0.015","53.25%","-0.005","-1.705","0.258","-0.698","0.317","-0.686","0.020","-0.321","-1.863","-0.270","-0.131","50.81%","0.024","56.49%","0.000","2.538","-0.061","4.419","-0.022","73.034","0.000","3.174","-0.032","1.139","0.000","33.053","0.011","66.606","0.035","82.20%","0.252","17.567","84.70%","0.414","19.920","48.50%","-0.630","41.295","40.50%","0.594","62.082","65.80%","-0.306","30.579","50.80%","0.612","42.388","-0.53","-0.41","0.578","0.076"
"💪 Approach <100 Prox, SG OTT | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred↓ ΔTrend↓ | BucketSig ↓ z=-1.65 (-0.216) [S↑ M↓ L↓ VL↑]",64,"28309","Coody, Pierceson",1,2,"-0.61","1.050","-0.016","-0.167","292.143","0.021","55.95%","0.038","0.475","-0.054","0.355","0.077","-0.622","7.096","0.743","0.076","-0.542","0.382","68.51%","0.020","54.91%","0.007","3.946","0.000","4.595","0.105","70.288","0.003","5.011","0.006","-1.482","0.000","28.289","0.011","51.331","0.078","92.00%","1.152","16.024","86.40%","0.270","22.228","54.00%","-0.756","42.543","34.10%","-1.044","61.946","64.40%","-0.072","31.973","53.30%","0.216","44.668","-0.61","-0.27","-0.699","-0.110"
