Time,Message
10:39:33 AM,[SNAPSHOT]   Driving Accuracy (metric 2): 0.6456703742118732
10:39:33 AM,[SNAPSHOT]   SG Putting (metric 7): 0.6974551251507698
10:39:33 AM,[SNAPSHOT]   Approach <100 GIR (metric 17): 0.861
10:39:33 AM,[SNAPSHOT]   Approach <150 FW GIR (metric 20): 0.86
10:39:33 AM,[SNAPSHOT]   Approach <150 Rough GIR (metric 23): 0.565
10:39:33 AM,[SNAPSHOT]   Approach >150 Rough GIR (metric 26): 0.387
10:39:33 AM,[SNAPSHOT]   Approach <200 FW GIR (metric 29): 0.759
10:39:33 AM,[SNAPSHOT]   Approach >200 FW GIR (metric 32): 0.512
10:39:33 AM,[SNAPSHOT]   Approach <100 SG (metric 18): 1.422
10:39:33 AM,[SNAPSHOT]   Approach <150 FW SG (metric 21): 1.0619999999999998
10:39:33 AM,[SNAPSHOT]   Calculated BCC (metric 14): 7.607816533128647
10:39:33 AM,[SNAPSHOT] WeightedScore: -0.10195953562690876
10:39:33 AM,[SNAPSHOT] RefinedWeightedScore: -0.10070058161441829
10:39:33 AM,[SNAPSHOT] PastPerfMultiplier: 1.2434041384361838
10:39:33 AM,[SNAPSHOT] DataCoverage: 0.9512195121951219 | Confidence: 0.9876524151983465
10:39:33 AM,[SNAPSHOT] GroupScore Driving Performance: -4.905823944605397
10:39:33 AM,[SNAPSHOT] GroupScore Approach - Short (<100): 0.6363396708325593
10:39:33 AM,[SNAPSHOT] GroupScore Approach - Mid (100-150): 0.5018791009798553
10:39:33 AM,[SNAPSHOT] GroupScore Approach - Long (150-200): 0.7539196407683701
10:39:33 AM,[SNAPSHOT] GroupScore Approach - Very Long (>200): 0.4351429630111072
10:39:33 AM,[SNAPSHOT] GroupScore Putting: 1.470187269346149
10:39:33 AM,[SNAPSHOT] GroupScore Around the Green: -0.44337631363715907
10:39:33 AM,[SNAPSHOT] GroupScore Scoring: 1.9003878687138915
10:39:33 AM,[SNAPSHOT] GroupScore Course Management: 0.20004126797904176
10:39:33 AM,[SNAPSHOT] Metric 0 SG Total: 1.8369278493543613
10:39:33 AM,[SNAPSHOT] Metric 1 Driving Distance: 274.75531762584
10:39:33 AM,[SNAPSHOT] Metric 2 Driving Accuracy: 0.6456703742118732
10:39:33 AM,[SNAPSHOT] Metric 3 SG T2G: 1.2608018716733786
10:39:33 AM,[SNAPSHOT] Metric 4 SG Approach: 0.737586854767448
10:39:33 AM,[SNAPSHOT] Metric 5 SG Around Green: -0.23622834027028514
10:39:33 AM,[SNAPSHOT] Metric 6 SG OTT: 0.7594983247596722
10:39:33 AM,[SNAPSHOT] Metric 7 SG Putting: 0.6974551251507698
10:39:33 AM,[SNAPSHOT] Metric 8 Greens in Regulation: 0.6676625039280304
10:39:33 AM,[SNAPSHOT] Metric 9 Scrambling: 0.6839795269750122
10:39:33 AM,[SNAPSHOT] Metric 10 Great Shots: 3.4552055114611298
10:39:33 AM,[SNAPSHOT] Metric 11 Poor Shots: 2.848190774913625
